Steps,1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 48000, 49000, 50000, 51000, 52000, 53000, 54000, 55000, 56000, 57000, 58000, 59000, 60000, 61000, 62000, 63000, 64000, 65000, 66000, 67000, 68000, 69000, 70000, 71000, 72000, 73000, 74000, 75000, 76000, 77000, 78000, 79000, 80000, 81000, 82000, 83000, 84000, 85000, 86000, 87000, 88000, 89000, 90000, 91000, 92000, 93000, 94000, 95000, 96000, 97000, 98000, 99000, 100000
Times,0.350024, 0.714759, 1.05934, 1.42389, 1.79682, 2.2071, 2.58997, 2.96837, 3.3298, 3.70446, 4.07328, 4.47855, 4.8514, 5.22211, 5.63511, 6.0489, 6.4066, 6.78791, 7.14039, 7.51004, 7.89691, 8.28405, 8.65544, 9.04461, 9.43435, 9.82409, 10.179, 10.5922, 10.9821, 11.3603, 11.7162, 12.1187, 12.4887, 12.8331, 13.1922, 13.5685, 13.9627, 14.3368, 14.7498, 15.1041, 15.4989, 15.8476, 16.2039, 16.5878, 16.9439, 17.2834, 17.6402, 17.9916, 18.3651, 18.7608, 19.1435, 19.5424, 19.9378, 20.3178, 20.6765, 21.0355, 21.374, 21.7345, 22.105, 22.4869, 22.8475, 23.2475, 23.6302, 24.0209, 24.3866, 24.7409, 25.0981, 25.4451, 25.8286, 26.2052, 26.5794, 26.9606, 27.3042, 27.6814, 28.081, 28.4638, 28.8302, 29.2257, 29.6403, 30.0181, 30.3698, 30.718, 31.089, 31.5006, 31.8702, 32.2171, 32.6116, 32.9715, 33.329, 33.7005, 34.0591, 34.4507, 34.8214, 35.1683, 35.5176, 35.8824, 36.259, 36.6355, 37.0117, 37.3794
<Sz>,0.0703125, 0.109375, 0.101562, 0.0859375, 0.117188, 0.09375, 0.101562, 0.0859375, 0.09375, 0.0625, 0.0234375, 0.0546875, 0.03125, 0.046875, 0.0703125, 0.109375, 0.117188, 0.0703125, 0.0703125, 0.101562, 0.0625, 0.101562, 0.078125, 0.109375, 0.125, 0.046875, 0.09375, 0.140625, 0.140625, 0.125, 0.078125, 0.117188, 0.0546875, 0.0546875, 0.109375, 0.148438, 0.0625, 0.148438, 0.09375, 0.0625, 0.078125, 0.0703125, 0.0703125, 0.0703125, 0.101562, 0.0703125, 0.101562, 0.0703125, 0.132812, 0.0703125, 0.0625, 0.09375, 0.03125, 0.0078125, 0.109375, 0.15625, 0.046875, 0.09375, 0.0625, 0.03125, 0.117188, 0.0859375, 0.0703125, 0.109375, 0.0859375, 0.109375, 0.109375, 0.0546875, 0.109375, 0.125, 0.109375, 0.109375, 0.101562, 0.078125, 0.078125, 0.101562, 0.0234375, 0.0546875, 0.0546875, 0.0703125, 0.046875, 0.09375, 0.078125, 0.125, 0.0703125, 0.09375, 0.078125, 0.09375, 0.0546875, 0.0703125, 0.046875, 0.0703125, 0.03125, 0.09375, 0.148438, 0.09375, 0.0703125, 0.0625, 0.0703125, 0.0703125
<Sx>,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
