steps,500, 510, 520, 530, 540, 550, 560, 570, 580, 590
times,1.19879, 1.22027, 1.23848, 1.26747, 1.29147, 1.32696, 1.35428, 1.37962, 1.3949, 1.43731
sx,0.22, 0.12, 0.16, 0.16, 0.26, 0, 0.1, 0.28, 0.1, 0.02
sz,0.22, 0.56, 0.84, 0.56, 0.5, 0.6, 0.22, 5.55112e-18, 0.7, 0.38
mag,0.22, 0.56, 0.84, 0.56, -0.5, 0.6, 0.22, 0, -0.7, -0.38
mag2,0.0484, 0.3136, 0.7056, 0.3136, 0.25, 0.36, 0.0484, 0, 0.49, 0.1444
mag4,0.00234256, 0.098345, 0.497871, 0.098345, 0.0625, 0.1296, 0.00234256, 0, 0.2401, 0.0208514
ising_order,1, 1, 1, 0.4, 0, 1, 0.6, 0.4, 0.2, 1
corr_x,1, 0.66, 0.58, 0.28, 0.42, 0.12, -0.1, 0.32, 0.36, 0.3
