Steps,1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 48000, 49000, 50000, 51000, 52000, 53000, 54000, 55000, 56000, 57000, 58000, 59000, 60000, 61000, 62000, 63000, 64000, 65000, 66000, 67000, 68000, 69000, 70000, 71000, 72000, 73000, 74000, 75000, 76000, 77000, 78000, 79000, 80000, 81000, 82000, 83000, 84000, 85000, 86000, 87000, 88000, 89000, 90000, 91000, 92000, 93000, 94000, 95000, 96000, 97000, 98000, 99000, 100000, 101000, 102000, 103000, 104000, 105000, 106000, 107000, 108000, 109000, 110000, 111000, 112000, 113000, 114000, 115000, 116000, 117000, 118000, 119000, 120000, 121000, 122000, 123000, 124000, 125000, 126000, 127000, 128000, 129000, 130000, 131000, 132000, 133000, 134000, 135000, 136000, 137000, 138000, 139000, 140000, 141000, 142000, 143000, 144000, 145000, 146000, 147000, 148000, 149000, 150000, 151000, 152000, 153000, 154000, 155000, 156000, 157000, 158000, 159000, 160000, 161000, 162000, 163000, 164000, 165000, 166000, 167000, 168000, 169000, 170000, 171000, 172000, 173000, 174000, 175000, 176000, 177000, 178000, 179000, 180000, 181000, 182000, 183000, 184000, 185000, 186000, 187000, 188000, 189000, 190000, 191000, 192000, 193000, 194000, 195000, 196000, 197000, 198000, 199000, 200000
Times,0.297748, 0.585133, 0.910561, 1.1925, 1.49476, 1.7601, 2.03275, 2.32391, 2.62414, 2.91421, 3.19267, 3.47648, 3.74896, 4.04243, 4.35502, 4.6601, 4.96187, 5.25996, 5.5466, 5.82752, 6.14948, 6.43406, 6.70082, 6.98596, 7.26956, 7.57075, 7.8541, 8.16109, 8.44852, 8.73519, 9.0439, 9.31495, 9.59878, 9.88141, 10.1862, 10.4703, 10.7416, 11.0588, 11.3386, 11.6417, 11.9494, 12.2422, 12.5121, 12.8275, 13.1271, 13.448, 13.7215, 13.9994, 14.3021, 14.6056, 14.8935, 15.181, 15.4518, 15.7582, 16.07, 16.3568, 16.6545, 16.9653, 17.2532, 17.5426, 17.8369, 18.1292, 18.4138, 18.7242, 19.0092, 19.3187, 19.5932, 19.9015, 20.1903, 20.4952, 20.7841, 21.0582, 21.328, 21.6112, 21.9241, 22.2027, 22.4761, 22.7896, 23.0925, 23.3666, 23.6584, 23.9487, 24.2318, 24.5228, 24.8152, 25.1114, 25.4033, 25.6882, 25.9981, 26.3038, 26.5869, 26.8719, 27.1674, 27.459, 27.7604, 28.0582, 28.3753, 28.6631, 28.9515, 29.2576, 29.5488, 29.836, 30.1088, 30.4154, 30.7323, 31.0221, 31.3341, 31.6113, 31.9071, 32.1932, 32.5045, 32.8126, 33.1119, 33.4165, 33.7081, 34.0111, 34.3143, 34.6085, 34.8988, 35.1733, 35.4697, 35.7619, 36.0553, 36.3331, 36.6219, 36.9239, 37.2294, 37.5085, 37.8049, 38.0584, 38.351, 38.6333, 38.9178, 39.1887, 39.4845, 39.7745, 40.0569, 40.3441, 40.6375, 40.9354, 41.2222, 41.5158, 41.8329, 42.118, 42.397, 42.6691, 42.9463, 43.233, 43.5117, 43.8195, 44.1091, 44.4204, 44.7349, 45.0261, 45.3203, 45.6234, 45.9295, 46.2255, 46.5281, 46.8079, 47.0844, 47.3752, 47.6617, 47.9458, 48.2449, 48.5149, 48.8017, 49.0874, 49.3631, 49.6462, 49.9529, 50.253, 50.559, 50.8546, 51.1254, 51.4357, 51.7227, 52.0326, 52.3392, 52.6349, 52.9542, 53.2717, 53.5634, 53.8588, 54.1106, 54.381, 54.6512, 54.9296, 55.2145, 55.4818, 55.7523, 56.0463, 56.3417, 56.6395, 56.9298, 57.2321, 57.5296, 57.8117, 58.1065, 58.4004
<Sz>,0.0078125, 0, 0.015625, 0.015625, 0.0078125, 0, 0.0078125, 0.0078125, 0, 0.03125, 0.015625, 0.015625, 0.0234375, 0.015625, 0.03125, 0.0234375, 0.015625, 0.0078125, 0.0234375, 0.015625, 0.078125, 0.0078125, 0.0234375, 0.03125, 0.015625, 0.0234375, 0.015625, 0, 0.015625, 0.0390625, 0.0234375, 0, 0.03125, 0.0078125, 0.0234375, 0, 0.0078125, 0.0234375, 0, 0.0078125, 0.0234375, 0.0078125, 0.03125, 0.015625, 0.046875, 0.0234375, 0.0078125, 0.03125, 0.0078125, 0, 0.0234375, 0.015625, 0.0078125, 0.0078125, 0, 0.03125, 0, 0.0078125, 0.046875, 0.03125, 0.046875, 0.0234375, 0.03125, 0, 0.03125, 0, 0.0390625, 0, 0, 0, 0.015625, 0.0234375, 0.015625, 0, 0.046875, 0.015625, 0, 0.015625, 0.03125, 0.015625, 0, 0.0390625, 0.0078125, 0.0234375, 0.0078125, 0.03125, 0.0390625, 0.0390625, 0.015625, 0.015625, 0.0234375, 0.015625, 0.0234375, 0.015625, 0.0234375, 0.0625, 0.0390625, 0, 0.0234375, 0.0390625, 0.0234375, 0.0390625, 0.0234375, 0.0390625, 0.015625, 0.0234375, 0.0078125, 0.015625, 0, 0.0078125, 0.046875, 0.0078125, 0.0078125, 0, 0.0078125, 0.0078125, 0, 0.0234375, 0.0078125, 0.03125, 0.03125, 0.015625, 0.0546875, 0, 0.0078125, 0, 0.015625, 0, 0.0078125, 0.03125, 0.0234375, 0.046875, 0, 0.0078125, 0.0234375, 0.0078125, 0.0078125, 0, 0.015625, 0.0234375, 0.0078125, 0.0390625, 0.015625, 0.015625, 0.015625, 0.0078125, 0, 0.03125, 0.0234375, 0, 0.0078125, 0.03125, 0.0234375, 0.03125, 0.015625, 0.03125, 0, 0.03125, 0.0234375, 0.0078125, 0.0078125, 0.0234375, 0.0234375, 0.0390625, 0.015625, 0.015625, 0.0234375, 0, 0.0078125, 0, 0.046875, 0.0234375, 0.0078125, 0.0234375, 0.0390625, 0.0390625, 0, 0, 0.0234375, 0.0078125, 0, 0.0234375, 0.0078125, 0.0234375, 0.0078125, 0.046875, 0.0078125, 0.0390625, 0.0078125, 0.015625, 0.0703125, 0.015625, 0, 0, 0, 0.0078125, 0.015625, 0.015625, 0.0078125, 0.03125
<Sx>,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
