Steps,1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000, 5100, 5200, 5300, 5400, 5500, 5600, 5700, 5800, 5900, 6000, 6100, 6200, 6300, 6400, 6500, 6600, 6700, 6800, 6900, 7000, 7100, 7200, 7300, 7400, 7500, 7600, 7700, 7800, 7900, 8000, 8100, 8200, 8300, 8400, 8500, 8600, 8700, 8800, 8900, 9000, 9100, 9200, 9300, 9400, 9500, 9600, 9700, 9800, 9900
Times,0.307209, 0.654051, 1.01283, 1.37503, 1.69407, 2.09789, 2.45064, 2.79646, 3.15026, 3.48294, 3.82608, 4.19771, 4.52923, 4.88627, 5.21912, 5.56387, 5.88952, 6.24506, 6.57576, 6.943, 7.26232, 7.62162, 7.96638, 8.31276, 8.68411, 9.06769, 9.37444, 9.68837, 10.0042, 10.3183, 10.6637, 11.0255, 11.3707, 11.7129, 12.0447, 12.3814, 12.6909, 13.0194, 13.3025, 13.6449, 13.9766, 14.3549, 14.6973, 15.0609, 15.4167, 15.7853, 16.1409, 16.511, 16.8757, 17.1946, 17.5379, 17.9152, 18.2612, 18.6218, 18.9838, 19.3461, 19.6661, 20.0102, 20.3221, 20.6697, 21.0055, 21.3559, 21.7244, 22.0725, 22.4103, 22.8283, 23.1699, 23.5626, 23.908, 24.2473, 24.5975, 24.9443, 25.2886, 25.6225, 26.014, 26.334, 26.6861, 27.0451, 27.3601, 27.6786, 28.0471, 28.4107, 28.7827, 29.1228, 29.4492, 29.8017, 30.1333, 30.5046, 30.8391, 31.1808
<Sz>,0.528, 0.516, 0.275, 0.125, 0.224, 0.065, 0.242, 0.66, 0.148, 0.185, 0.27, 0.461, 0.237, 0.129, 0.205, 0.711, 0.233, 0.699, 0.064, 0.843, 0.808, 0.859, 0.771, 0.57, 0.139, 0.314, 0.581, 0.522, 0.772, 0.396, 0.631, 0.075, 0.816, 0.479, 0.07, 0.561, 0.376, 0.207, 0.126, 0.065, 0.312, 0.468, 0.191, 0.384, 0.399, 0.718, 0.522, 0.143, 0.088, 0.222, 0.663, 0.29, 0.036, 0.511, 0.203, 0.282, 0.477, 0.577, 0.069, 0.082, 0.243, 0.329, 0.471, 0.139, 0.304, 0.804, 0.462, 0.735, 0.281, 0.64, 0.067, 0.123, 0.481, 0.45, 0.134, 0.317, 0.259, 0.1, 0.262, 0.575, 0.222, 0.771, 0.665, 0.189, 0.203, 0.259, 0.382, 0.133, 0.398, 0.539
<Sx>,0.072, 0.166, 0.043, 0.045, 0.132, 0.101, 0.204, 0.078, 0.088, 0.075, 0.234, 0.039, 0.117, 0.235, 0.023, 0.229, 0.151, 0.131, 0.064, 0.057, 0.092, 0.117, 0.145, 0.118, 0.155, 0.21, 0.199, 0.148, 0.2, 0.06, 0.269, 0.085, 0.154, 0.261, 0.052, 0.125, 0.024, 0.321, 0.126, 0.075, 0.012, 0.148, 0.043, 0.102, 0.079, 0.08, 0.158, 0.063, 0.164, 0.09, 0.105, 0.04, 0.062, 0.041, 0.033, 0.036, 0.099, 0.081, 0.173, 0.054, 0.161, 0.191, 0.047, 0.207, 0.062, 0.132, 0.104, 0.133, 0.113, 0.106, 0.085, 0.291, 0.133, 0.078, 0.122, 0.117, 0.131, 0.104, 0.408, 0.127, 0.202, 0.089, 0.035, 0.147, 0.099, 0.125, 0.24, 0.173, 0.014, 0.095
corr_t,1, 0.99, 0.974444, 0.965556, 0.952222, 0.942222, 0.934444, 0.925556, 0.921111, 0.912222, 0.912222, 0.904444, 0.895556, 0.884444, 0.877778, 0.868889, 0.865556, 0.864444, 0.86, 0.854444, 0.853333, 0.85, 0.841111, 0.836667, 0.827778, 0.82, 0.817778, 0.812222, 0.807778, 0.806667, 0.806667, 0.807778, 0.803333, 0.803333, 0.796667, 0.794444, 0.791111, 0.785556, 0.78, 0.781111, 0.783333, 0.781111, 0.771111, 0.773333, 0.766667, 0.762222, 0.763333, 0.765556, 0.768889, 0.765556, 0.765556, 0.77, 0.768889, 0.776667, 0.776667, 0.783333, 0.781111, 0.781111, 0.77, 0.765556, 0.762222, 0.762222, 0.763333, 0.76, 0.758889, 0.763333, 0.762222, 0.773333, 0.775556, 0.781111, 0.788889, 0.794444, 0.8, 0.806667, 0.811111, 0.804444, 0.812222, 0.824444, 0.828889, 0.835556, 0.844444, 0.852222, 0.857778, 0.858889, 0.866667, 0.877778, 0.883333, 0.892222, 0.894444, 0.905556, 0.918889, 0.928889, 0.932222, 0.938889, 0.954444, 0.962222, 0.97, 0.982222, 0.983333, 0.988889
