Steps,1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000, 5100, 5200, 5300, 5400, 5500, 5600, 5700, 5800, 5900
Times,0.307209, 0.654051, 1.01283, 1.37503, 1.69407, 2.09789, 2.45064, 2.79646, 3.15026, 3.48294, 3.82608, 4.19771, 4.52923, 4.88627, 5.21912, 5.56387, 5.88952, 6.24506, 6.57576, 6.943, 7.26232, 7.62162, 7.96638, 8.31276, 8.68411, 9.06769, 9.37444, 9.68837, 10.0042, 10.3183, 10.6637, 11.0255, 11.3707, 11.7129, 12.0447, 12.3814, 12.6909, 13.0194, 13.3025, 13.6449, 13.9766, 14.3549, 14.6973, 15.0609, 15.4167, 15.7853, 16.1409, 16.511, 16.8757, 17.1946
<Sz>,0.528, 0.516, 0.275, 0.125, 0.224, 0.065, 0.242, 0.66, 0.148, 0.185, 0.27, 0.461, 0.237, 0.129, 0.205, 0.711, 0.233, 0.699, 0.064, 0.843, 0.808, 0.859, 0.771, 0.57, 0.139, 0.314, 0.581, 0.522, 0.772, 0.396, 0.631, 0.075, 0.816, 0.479, 0.07, 0.561, 0.376, 0.207, 0.126, 0.065, 0.312, 0.468, 0.191, 0.384, 0.399, 0.718, 0.522, 0.143, 0.088, 0.222
<Sx>,0.072, 0.166, 0.043, 0.045, 0.132, 0.101, 0.204, 0.078, 0.088, 0.075, 0.234, 0.039, 0.117, 0.235, 0.023, 0.229, 0.151, 0.131, 0.064, 0.057, 0.092, 0.117, 0.145, 0.118, 0.155, 0.21, 0.199, 0.148, 0.2, 0.06, 0.269, 0.085, 0.154, 0.261, 0.052, 0.125, 0.024, 0.321, 0.126, 0.075, 0.012, 0.148, 0.043, 0.102, 0.079, 0.08, 0.158, 0.063, 0.164, 0.09
corr_t,1, 0.986, 0.966, 0.958, 0.94, 0.93, 0.924, 0.912, 0.908, 0.9, 0.898, 0.888, 0.88, 0.872, 0.868, 0.856, 0.85, 0.85, 0.85, 0.842, 0.844, 0.84, 0.836, 0.832, 0.822, 0.814, 0.806, 0.804, 0.796, 0.794, 0.792, 0.794, 0.788, 0.784, 0.778, 0.77, 0.766, 0.762, 0.754, 0.758, 0.764, 0.766, 0.752, 0.756, 0.752, 0.752, 0.76, 0.766, 0.772, 0.77, 0.768, 0.772, 0.776, 0.784, 0.782, 0.788, 0.788, 0.786, 0.776, 0.77, 0.768, 0.77, 0.772, 0.772, 0.772, 0.776, 0.774, 0.784, 0.78, 0.788, 0.794, 0.8, 0.814, 0.822, 0.822, 0.818, 0.834, 0.848, 0.852, 0.856, 0.86, 0.864, 0.866, 0.868, 0.876, 0.888, 0.9, 0.9, 0.9, 0.908, 0.92, 0.936, 0.94, 0.948, 0.96, 0.962, 0.97, 0.984, 0.984, 0.988
