name, average, error
steps,7237.5,1196.78
times,369.772,61.1795
sx,0.0012736,6.77648e-05
sz,0.0147936,0.0242056
mag,0.991958,0.001895
mag2,0.985706,0.00296264
mag4,0.975708,0.00418347
cluster size,1227.3,5.62595
corr_x,1
corr_t,1, 0.996, 0.996, 0.992, 0.992, 0.984, 0.988, 0.988, 0.988, 0.98, 0.988, 0.988, 0.988, 0.988, 0.984, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.984, 0.988, 0.984, 0.988, 0.988, 0.988, 0.988, 0.976, 0.98, 0.984, 0.984, 0.988, 0.988, 0.988, 0.988, 0.984, 0.984, 0.988, 0.988, 0.988, 0.988, 0.984, 0.988, 0.988, 0.988, 0.984, 0.992, 0.992, 0.992, 0.984, 0.992, 0.992, 0.988, 0.984, 0.984, 0.98, 0.988, 0.984, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.992, 0.996, 0.996, 0.996, 0.992, 0.992, 0.996, 0.996, 0.992, 0.992, 0.992, 0.992, 0.988, 0.988, 0.988, 0.992, 0.992, 0.988, 0.992, 0.992, 0.992, 0.984, 0.988, 0.984, 0.988, 0.988, 0.988, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.988, 0.992, 0.992, 0.988, 0.984, 0.988, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.988, 0.988, 0.988, 0.992, 0.992, 0.988, 0.996, 0.992, 0.996, 0.992, 0.992, 0.996, 0.996, 0.992, 0.992, 0.992, 0.996, 0.992, 0.992, 0.992, 0.996, 0.996, 0.992, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.992, 0.996, 0.996, 0.996, 0.996, 0.988, 0.996, 0.992, 0.992, 0.992, 0.992, 0.988, 0.992, 0.988, 0.996, 0.996, 0.988, 0.988, 0.988, 0.988, 0.984, 0.988, 0.984, 0.988, 0.988, 0.988, 0.984, 0.984, 0.984, 0.984, 0.984, 0.988, 0.988, 0.984, 0.984, 0.988, 0.988, 0.984, 0.988, 0.988, 0.988, 0.984, 0.976, 0.98, 0.984, 0.98, 0.984, 0.984, 0.98, 0.98, 0.988, 0.984, 0.988, 0.988, 0.988, 0.988, 0.984, 0.988, 0.984, 0.988, 0.988, 0.992, 0.992, 0.992, 0.992, 0.988, 0.988, 0.992, 0.992, 0.988, 0.988, 0.992, 0.992, 0.992, 0.984, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.988, 0.988, 0.988, 0.992, 0.992, 0.988, 0.988, 0.988, 0.988, 0.984, 0.988, 0.988, 0.98, 0.984, 0.984, 0.984, 0.98, 0.984, 0.984, 0.984, 0.984, 0.988, 0.984, 0.98, 0.988, 0.988, 0.988, 0.988, 0.98, 0.988, 0.988, 0.984, 0.984, 0.984, 0.988, 0.988, 0.988, 0.984, 0.984, 0.98, 0.98, 0.98, 0.98, 0.98, 0.976, 0.988, 0.988, 0.988, 0.988, 0.984, 0.98, 0.988, 0.984, 0.984, 0.988, 0.988, 0.992, 0.988, 0.988, 0.988, 0.992, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.992, 0.988, 0.988, 0.992, 0.992, 0.988, 0.988, 0.988, 0.992, 0.992, 0.992, 0.996, 0.996, 0.988, 0.988, 0.996, 0.996, 0.992, 0.992, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.992, 0.984, 0.988, 0.988, 0.988, 0.988, 0.988, 0.984, 0.98, 0.984, 0.988, 0.984, 0.984, 0.988, 0.988, 0.984, 0.984, 0.988, 0.988, 0.988, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.988, 0.984, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.992, 0.988, 0.98, 0.988, 0.988, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.988, 0.988, 0.984, 0.98, 0.984, 0.984, 0.984, 0.984, 0.984, 0.988, 0.988, 0.988, 0.984, 0.984, 0.988, 0.988, 0.988, 0.988, 0.984, 0.98, 0.98, 0.98, 0.984, 0.98, 0.984, 0.984, 0.984, 0.976, 0.976, 0.984, 0.984, 0.98, 0.976, 0.976, 0.98, 0.976, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.98, 0.984, 0.984, 0.98, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.98, 0.984, 0.984, 0.984, 0.984, 0.984, 0.98, 0.984, 0.988, 0.984, 0.984, 0.98, 0.984, 0.98, 0.98, 0.984, 0.984, 0.98, 0.984, 0.984, 0.98, 0.98, 0.976, 0.984, 0.984, 0.984, 0.98, 0.984, 0.984, 0.984, 0.98, 0.984, 0.988, 0.98, 0.988, 0.984, 0.984, 0.98, 0.98, 0.984, 0.984, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.976, 0.984, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.98, 0.984, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.984, 0.988, 0.988, 0.992, 0.992, 0.988, 0.984, 0.98, 0.984, 0.984, 0.984, 0.984, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.992, 0.996, 0.992, 0.992, 0.992, 0.992, 0.996, 0.988, 0.988, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.996, 0.992, 0.988, 0.988, 0.992, 0.992, 0.992, 0.992, 0.996, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.988, 0.992, 0.992, 0.996, 0.996, 0.996, 0.996, 0.996, 0.992, 0.992, 0.996, 0.996, 0.992, 0.996, 0.992, 0.996, 0.992, 0.992, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.992, 0.996, 0.996, 0.996, 0.992, 0.992, 0.992, 0.992, 0.984, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.988, 0.984, 0.988, 0.992, 0.98, 0.976, 0.984, 0.98, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.992, 0.988, 0.988, 0.984, 0.984, 0.98, 0.984, 0.98, 0.992, 0.988, 0.988, 0.98, 0.976, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.98, 0.98, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.988, 0.984, 0.988, 0.984, 0.98, 0.98, 0.98, 0.984, 0.984, 0.98, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.98, 0.98, 0.98, 0.984, 0.98, 0.976, 0.98, 0.984, 0.984, 0.984, 0.984, 0.98, 0.98, 0.976, 0.98, 0.976, 0.972, 0.98, 0.976, 0.98, 0.976, 0.98, 0.98, 0.98, 0.988, 0.988, 0.988, 0.984, 0.98, 0.98, 0.984, 0.988, 0.988, 0.988, 0.988, 0.988, 0.98, 0.988, 0.988, 0.984, 0.984, 0.984, 0.984, 0.988, 0.988, 0.984, 0.984, 0.988, 0.984, 0.98, 0.984, 0.984, 0.988, 0.98, 0.988, 0.988, 0.988, 0.984, 0.988, 0.98, 0.984, 0.988, 0.984, 0.984, 0.984, 0.984, 0.984, 0.988, 0.988, 0.988, 0.988, 0.984, 0.988, 0.988, 0.988, 0.988, 0.984, 0.988, 0.984, 0.988, 0.988, 0.988, 0.988, 0.98, 0.984, 0.984, 0.984, 0.984, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.976, 0.98, 0.98, 0.984, 0.98, 0.984, 0.984, 0.984, 0.984, 0.98, 0.976, 0.984, 0.98, 0.984, 0.984, 0.984, 0.98, 0.98, 0.98, 0.984, 0.984, 0.984, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.976, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.98, 0.976, 0.976, 0.972, 0.984, 0.984, 0.984, 0.984, 0.988, 0.988, 0.988, 0.988, 0.984, 0.988, 0.988, 0.988, 0.984, 0.984, 0.984, 0.984, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.984, 0.984, 0.984, 0.988, 0.984, 0.984, 0.984, 0.988, 0.984, 0.98, 0.98, 0.976, 0.976, 0.98, 0.98, 0.984, 0.984, 0.984, 0.98, 0.984, 0.984, 0.988, 0.988, 0.988, 0.988, 0.988, 0.988, 0.984, 0.984, 0.984, 0.984, 0.984, 0.988, 0.98, 0.984, 0.988, 0.984, 0.98, 0.976, 0.984, 0.984, 0.984, 0.988, 0.984, 0.98, 0.984, 0.98, 0.98, 0.984, 0.988, 0.988, 0.988, 0.984, 0.984, 0.984, 0.98, 0.98, 0.98, 0.984, 0.984, 0.984, 0.98, 0.984, 0.984, 0.984, 0.984, 0.988, 0.988, 0.98, 0.98, 0.98, 0.984, 0.98, 0.972, 0.98, 0.984, 0.984, 0.984, 0.98, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.984, 0.98, 0.98, 0.98, 0.976, 0.984, 0.984, 0.984, 0.984, 0.984, 0.988, 0.988, 0.992, 0.988, 0.992, 0.992, 0.984, 0.984, 0.988, 0.988, 0.988, 0.976, 0.98, 0.98, 0.984, 0.988, 0.988, 0.992, 0.988, 0.984, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.988, 0.992, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.98, 0.988, 0.988, 0.992, 0.992, 0.988, 0.992, 0.992, 0.992, 0.992, 0.996, 0.988, 0.996, 0.992, 0.992, 0.988, 0.984, 0.984, 0.984, 0.988, 0.988, 0.98, 0.976, 0.984, 0.984, 0.992, 0.992, 0.996, 0.996, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.992, 0.992, 0.992, 0.988, 0.992, 0.992, 0.992, 0.988, 0.996, 0.996, 0.996, 0.996, 0.996, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.992, 0.992, 0.992, 0.992, 0.988, 0.988, 0.984, 0.988, 0.992, 0.992, 0.996, 0.992, 0.992, 0.996, 0.996, 0.996, 0.996, 0.996, 0.992, 0.996, 0.996, 0.996, 0.996, 0.996, 0.992, 0.996, 0.992, 0.996, 0.996, 0.992, 0.984, 0.992, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.996, 0.988, 0.988, 0.996, 0.996, 0.992, 0.992, 0.996, 0.996, 0.996, 0.992, 0.992, 0.996, 0.996, 0.996, 0.992, 0.996, 0.996, 0.996, 0.996, 0.996, 0.992, 0.996, 0.996, 0.996, 0.988, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.984, 0.984, 0.988, 0.988, 0.992, 0.992, 0.988, 0.988, 0.984, 0.988, 0.984, 0.992, 0.988, 0.988, 0.976, 0.976, 0.984, 0.984, 0.984, 0.988, 0.988, 0.988, 0.984, 0.988, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.992, 0.988, 0.992, 0.996, 0.996, 1, 1, 1, 1
