name, average, error
steps,7237.5,1196.78
times,3.94937,0.659945
sx,0.323341,0.00186343
sz,0.0018496,0.00579402
mag,0.0452736,0.00183423
mag2,0.00324528,0.000266303
mag4,3.29725e-05,5.9771e-06
cluster size,4.596,0.277349
corr_x,1
corr_t,1, 0.36, 0.204, 0.284, 0.208, -0.104, 0.06, -0.008, 0.08, 0.068, 0.2, 0.092, -0.148, 0.252, 0.144, 0.148, 0.092, 0.032, -0.028, -0.124, -0.092, 0.096, -0.084, -0.028, -0.076, -0.036, 0.004, -0.016, 0.024, -0.092, -0.208, -0.104, 0.056, 0.004, -0.004, -0.112, -0.08, -0.088, -0.064, 0.228, 0.156, -0.044, -0.26, -0.04, -0.192, -0.156, -0.188, 0, -0.04, -0.06, -0.02, -0.212, -0.284, 0.076, -0.016, 0.084, 0.052, -0.096, -0.004, 0.212, 0.144, -0.108, -0.032, 0.16, -0.084, -0.092, -0.012, -0.164, -0.048, -0.096, 0.196, 0.124, -0.088, 0.024, 0.088, -0.216, 0.132, -0.068, -0.036, -0.252, 0.152, 0.264, 0.036, -0.232, 0.004, -0.008, -0.028, -0.036, -0.18, -0.004, 0.112, 0.192, -0.124, -0.056, -0.06, -0.264, -0.092, -0.06, -0.148, 0.096, -0.084, 0.22, -0.048, -0.044, 0.084, -0.052, -0.068, 0.144, -0.012, 0.016, 0.144, 0.188, -0.18, -0.284, 0.028, 0.056, -0.104, 0.04, -0.008, -0.06, 0.032, -0.004, -0.024, 0.068, 0.048, -0.148, 0.076, -0.044, 0, 0.1, 0.1, 0.132, 0.128, -0.268, -0.104, 0.004, 0.136, -0.004, 0.068, 0.008, 0.028, 0.204, 0.028, 0.248, 0.22, -0.08, 0.092, -0.168, 0, 0.196, 0.1, 0.012, 0.132, 0.08, 0.16, 0.12, 0.004, -0.02, -0.156, -0.02, -0.092, 0.02, -0.144, -0.028, 0, -0.092, -0.252, -0.12, -0.032, 0.2, -0.092, -0.156, -0.072, 0.036, 0.104, -0.068, -0.028, -0.172, 0.004, -0.068, -0.224, 0.208, -0.22, -0.012, -0.076, 0.172, 0.208, 0.076, 0.052, -0.052, 0.084, -0.028, -0.06, -0.08, -0.04, -0.092, 0.108, -0.116, 0.092, -0.096, -0.076, 0.088, -0.008, 0.236, 0.024, -0.252, -0.192, 0.048, -0.04, -0.284, 0.244, 0.076, -0.12, -0.024, -0.12, -0.2, -0.016, 0.06, -0.104, -0.012, 0.264, 0.024, 0.024, -0.16, -0.092, -0.168, -0.248, 0.016, -0.044, 0.056, -0.144, -0.176, -0.2, -0.08, -0.176, 0.048, 0.084, -0.108, -0.012, 0.016, 0.052, -0.068, 0.112, 0.12, -0.004, 0.016, 0.028, 0, -0.004, -0.008, 0.068, -0.052, -0.028, 0.02, -0.068, 0.028, -0.008, -0.2, 0.08, 0.1, 0.336, 0.02, 0.104, -0.116, -0.016, -0.128, 0.096, 0.104, -0.036, 0.088, 0.06, 0.044, 0.104, 0.188, 0.164, 0.252, -0.176, 0.36, 0.124, 0.032, 0.004, -0.036, 0.016, -0.128, -0.196, 0.148, -0.02, 0.02, 0, 0.26, 0.02, -0.08, -0.116, 0.004, -0.12, 0.036, -0.12, 0.012, 0.04, 0.124, 0.004, -0.012, 0.348, 0.008, 0.064, 0.128, 0.132, 0.116, 0.108, -0.24, -0.108, 0.088, -0.144, 0, -0.296, 0.132, 0.124, -0.148, 0.216, 0.16, 0.032, -0.284, 0.108, 0.04, 0, 0.056, -0.024, -0.144, 0.044, 0.012, -0.008, -0.188, 0.02, 0.036, -0.088, 0.04, -0.012, 0.084, 0.132, 0.068, -0.156, -0.152, -0.024, 0.172, 0.068, 0.04, -0.088, 0.06, 0.044, 0.2, 0.072, -0.116, -0.152, -0.128, 0.112, 0.068, -0.04, 0.028, 0.092, 0.092, -0.064, -0.124, 0.128, 0.06, 0.12, 0.272, -0.236, -0.332, -0.076, 0.148, -0.004, -0.112, -0.064, -0.028, 0.172, -0.008, -0.02, 0.088, 0.096, -0.124, -0.016, 0.008, 0.044, 0.284, 0.212, 0.092, -0.2, 0.048, -0.104, 0.224, 0.08, 0.056, -0.016, 0.14, 0.076, 0.124, 0.172, 0.3, 0.22, 0.116, -0.036, -0.084, 0.144, -0.024, 0.124, 0.088, -0.028, 0.04, -0.208, -0.116, 0.06, 0.008, -0.004, 0.056, -0.224, -0.14, -0.144, -0.028, 0.108, 0.02, 0.132, 0.168, 0.064, 0.216, 0.2, 0.1, 0.088, 0.296, 0.084, -0.084, 0.008, 0.004, -0.056, 0.012, -0.044, 0.164, -0.004, -0.104, 0.028, 0.008, 0.124, 0.044, 0.02, 0.128, 0.148, 0.02, 0.012, 0.228, 0.084, 0.052, -0.032, -0.016, -0.12, -0.072, -0.084, 0.02, 0.008, -0.268, -0.14, 0.188, 0.216, 0.044, -0.004, -0.032, 0.088, 0.06, -0.188, -0.128, 0.116, -0.172, 0.04, 0.008, 0.092, 0.068, 0.024, 0.12, -0.08, -0.056, -0.024, -0.224, -0.116, -0.132, -0.024, 0.104, -0.1, 0.032, -0.188, 0.136, 0.004, 0.18, -0.148, 0.148, -0.208, -0.156, 0.036, -0.14, -0.088, 0.036, -0.248, -0.06, 0.104, -0.012, 0.032, -0.144, -0.136, -0.168, -0.192, -0.12, -0.308, 0.192, -0.016, -0.044, 0.06, 0.132, 0.136, -0.004, 0.096, -0.14, -0.088, 0.108, -0.06, 0.14, 0.032, -0.152, -0.008, -0.128, 0.056, 0.02, 0.1, 0.028, -0.06, 0.072, 0.016, -0.124, 0.2, -0.084, 0.12, -0.212, -0.092, -0.024, -0.092, 0.124, -0.1, 0.02, 0.212, -0.036, 0.004, 0.208, 0.092, -0.24, -0.188, 0.136, -0.008, -0.048, 0.012, -0.004, -0.084, 0.076, 0.076, 0.2, 0.092, 0, 0.004, 0.176, -0.02, -0.216, -0.012, -0.012, 0.128, -0.064, -0.276, 0.116, 0.084, -0.06, -0.04, -0.052, -0.132, 0.056, -0.076, -0.124, 0.044, -0.108, 0.176, 0.004, -0.112, -0.06, 0.072, -0.164, -0.08, -0.016, -0.012, -0.16, -0.048, 0.092, -0.244, -0.224, 0.056, 0.136, -0.108, 0.004, 0.076, 0.036, 0.016, -0.144, -0.008, -0.164, 0.004, 0.152, -0.064, 0.2, 0.064, -0.008, -0.12, 0.108, -0.004, -0.112, 0.056, -0.156, -0.092, -0.02, -0.16, -0.028, 0.136, -0.032, 0.1, 0.228, 0.136, 0.104, -0.056, -0.368, -0.348, -0.204, -0.18, -0.164, -0.1, 0.032, -0.244, -0.224, -0.1, -0.176, 0.108, 0.064, 0.064, 0.076, -0.132, 0.06, 0.164, -0.044, 0.04, -0.044, 0.072, 0.1, 0.136, 0.152, 0.076, -0.128, -0.072, 0.116, -0.012, -0.072, -0.252, 0.108, 0.044, 0.24, 0.116, -0.02, -0.036, 0.032, 0.104, 0.132, -0.072, 0.02, 0.024, -0.192, 0.076, -0.028, -0.06, 0.132, 0.12, -0.2, -0.076, -0.204, -0.048, -0.036, -0.092, 0.092, 0.14, 0.18, 0.196, 0.104, 0.06, 0.144, 0.044, -0.108, 0.02, 0.132, 0.232, 0, -0.048, -0.16, -0.104, -0.308, 0.084, 0.088, -0.012, -0.048, 0.116, -0.02, 0.012, -0.016, 0.02, -0.064, -0.096, 0.02, 0.124, -0.184, 0.104, 0.048, 0.012, 0.148, 0.272, -0.008, 0, 0.1, 0.168, 0.032, 0.096, 0.108, 0.1, 0.328, 0.272, 0.032, 0.184, 0.024, 0.148, -0.116, 0.096, 0.108, 0.08, 0.052, 0.064, -0.012, -0.044, -0.172, 0.032, -0.216, 0.044, 0.072, -0.18, 0.068, 0.1, -0.092, -0.068, -0.008, 0.188, 0.024, -0.096, -0.02, -0.184, -0.168, -0.084, 0.016, 0.06, 0.016, -0.276, 0.16, -0.068, -0.096, 0.156, 0.092, 0.204, 0.192, -0.12, 0.016, 0.088, 0.02, 0.02, -0.008, 0.224, -0.056, 0.348, 0.148, -0.036, 0.028, 0.04, 0, -0.156, -0.04, -0.052, -0.128, -0.156, 0.188, -0.012, -0.176, -0.148, 0.252, -0.184, -0.2, -0.124, 0.016, 0.072, -0.068, -0.044, 0.06, -0.044, 0.184, -0.016, -0.016, 0.048, 0.092, -0.024, -0.096, 0.108, -0.116, -0.008, 0.144, -0.148, 0.028, -0.032, 0.268, 0.104, 0.032, -0.024, -0.044, -0.088, -0.112, 0.056, 0.04, -0.24, 0.132, -0.052, -0.096, -0.036, -0.028, -0.004, 0.092, -0.14, 0.024, 0.044, -0.164, -0.096, 0.044, -0.236, 0.048, 0.008, -0.048, -0.044, -0.036, -0.128, -0.02, -0.136, -0.004, -0.016, -0.116, 0.068, -0.12, -0.084, -0.124, 0.112, -0.024, -0.192, -0.192, -0.1, -0.056, 0.176, -0.044, 0.212, 0.016, 0.216, -0.008, 0.148, 0.008, 0.188, -0.132, 0.12, 0.204, 0.112, -0.092, -0.076, -0.008, -0.052, -0.056, 0.116, -0.036, -0.036, -0.18, -0.08, 0.032, 0.072, -0.068, -0.108, -0.012, -0.04, -0.104, 0.084, -0.28, -0.06, -0.156, -0.016, -0.068, -0.172, -0.212, -0.212, -0.148, -0.212, 0.204, -0.052, 0.128, 0.084, -0.26, 0.232, -0.02, 0.108, 0.224, -0.076, -0.028, -0.088, -0.136, -0.108, -0.02, 0.068, -0.056, -0.164, 0.072, 0.044, -0.256, -0.128, -0.156, -0.24, 0.032, -0.028, -0.004, -0.108, -0.072, -0.076, -0.032, -0.012, 0.152, -0.04, -0.22, 0.048, -0.248, -0.104, -0.16, -0.056, -0.116, -0.18, -0.024, -0.044, -0.108, -0.004, -0.172, -0.076, 0.092, -0.024, -0.02, -0.108, -0.012, -0.032, -0.012, 0.172, 0.068, -0.06, -0.128, 0.048, -0.08, 0.056, 0.124, 0.18, 0.164, -0.16, 0.064, -0.112, 0.084, 0.012, 0.116, 0.068, -0.02, 0.1, 0.12, 0.14, 0.124, -0.036, -0.068, -0.124, -0.052, -0.072, 0.008, -0.208, 0.112, 0.076, 0.08, 0.176, 0.084, 0.12, 0.032, -0.232, -0.276, 0.036, -0.02, -0.1, -0.064, 0.008, 0.092, -0.148, -0.016, -0.116, -0.108, -0.016, 0.06, 0.012, -0.124, -0.068, 0.1, 0.188, 0.26, 0.084, 0.048, 0.16, -0.016, 0.04, 0.028, -0.008, -0.048, 0.06, -0.124, -0.224, 0.232, -0.036, 0.016, 0.16, 0.04, -0.06, 0.004, -0.224, -0.092, -0.208, -0.144, -0.216, -0.132, -0.036, -0.14, -0.02, 0.008, 0.152, 0.076, 0.044, 0.052, -0.012, -0.064, -0.116, -0.032, -0.128, 0.048, 0.096, 0.068, -0.108, 0.08, -0.004, 0.016, -0.04, -0.284, -0.012, 0.136, 0.196, 0.028, 0.056, -0.072, 0.144, 0.12, -0.04, -0.096, -0.116, -0.088, -0.148, -0.26, -0.02, 0.008, 0.176, 0.132, -0.02, 0.14, 0.1, -0.148, 0.036, -0.06, -0.028, -0.024, -0.024, -0.108, 0.132, 0, 0.02, 0.02, 0.28, -0.156, -0.144, -0.06, -0.024, 0.136, 0.108, 0.06, 0.012, 0.116, -0.056, 0, 0.016, 0.06, -0.128, 0.14, -0.052, -0.056, 0.192, 0.224, 0.028, 0.132, 0.152, 0.16, 0.072, -0.044, 0.172, 0.256, -0.116, -0.012, -0.02, -0.076, 0.032, -0.196, 0.136, -0.044, -0.016, 0.056, 0.008, 0.016, 0.016, -0.2, -0.044, -0.08, 0.204, -0.068, -0.032, -0.24, -0.008, 0.072, -0.328, -0.052, -0.076, 0.016, 0.096, 0.04, -0.016, -0.024, -0.228, -0.024, -0.072, -0.08, -0.352, -0.096, -0.02, -0.004, 0.06, -0.028, 0.092, 0, -0.06, -0.284, -0.112, 0.072, -0.068, -0.14, -0.172, -0.16, -0.176, 0.204, -0.12, 0.052, 0.168, 0.148, 0.076, -0.08, -0.252, -0.024, -0.108, 0.06, -0.048, -0.016, 0.004, 0.34, 0.072, 0.16, 0.108, -0.004, 0.156, -0.192, 0.08, -0.184, 0.004, -0.008, 0.168, 0.212, 0.068, -0.088, 0.1, -0.032, 0.048, -0.008, 0.04, 0.036, 0.068, 0.228, 0.16, -0.032, 0.02, 0.244, -0.08, -0.108, -0.148, 0.164, 0.096, -0.1, -0.1, 0.236, 0.3, 0.088, -0.192, -0.076, -0.08, 0.036, 0.008, -0.028, -0.088, -0.028, -0.088, -0.112, -0.012, 0.276, 0.056, 0.364, 0.3, 0.236, -0.008, 0.152, 0.268, 0.344, 0.26, 0.108, 0.468, 0.256, 0.048, 0.328
