name, average, error
steps,52950,9574.27
times,14.9182,2.711
sx,0.00014,5.20683e-05
sz,-0.06186,0.17537
mag,0.99978,9.16515e-05
mag2,0.999568,0.000179246
mag4,0.999169,0.000343102
cluster size,99.873,0.0993764
corr_x,1
corr_t,1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.996, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.996, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.998, 0.998, 0.998, 1, 0.998, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
