name, average, error
steps,202950,38297.1
times,6902.37,1303.17
sx,0.0455224,0.000118933
sz,-0.0049596,0.0105774
mag,0.57558,0.00433917
mag2,0.400572,0.00450453
mag4,0.234407,0.00360119
cluster size,501.69,4.72558
corr_x,1
corr_t,1, 0.902, 0.874, 0.8405, 0.813, 0.795, 0.7875, 0.782, 0.768, 0.76, 0.7495, 0.732, 0.719, 0.717, 0.712, 0.7075, 0.6915, 0.684, 0.694, 0.6855, 0.6755, 0.667, 0.662, 0.655, 0.6615, 0.6525, 0.6465, 0.644, 0.631, 0.618, 0.6245, 0.6265, 0.6235, 0.6265, 0.6185, 0.612, 0.5955, 0.601, 0.5995, 0.595, 0.5965, 0.6015, 0.59, 0.5855, 0.589, 0.5855, 0.578, 0.5845, 0.575, 0.5705, 0.5585, 0.553, 0.548, 0.5605, 0.5495, 0.5475, 0.548, 0.548, 0.534, 0.541, 0.5415, 0.533, 0.5295, 0.5255, 0.5235, 0.522, 0.519, 0.517, 0.514, 0.508, 0.503, 0.5075, 0.505, 0.5185, 0.505, 0.5145, 0.496, 0.493, 0.498, 0.493, 0.4975, 0.4975, 0.4885, 0.496, 0.494, 0.5055, 0.4955, 0.496, 0.4935, 0.48, 0.49, 0.4915, 0.4895, 0.4765, 0.4795, 0.469, 0.4575, 0.469, 0.467, 0.4685, 0.46, 0.455, 0.4555, 0.4535, 0.4475, 0.4515, 0.454, 0.458, 0.4595, 0.4595, 0.452, 0.4595, 0.449, 0.4495, 0.4515, 0.4475, 0.459, 0.4585, 0.4625, 0.46, 0.463, 0.47, 0.457, 0.4515, 0.453, 0.458, 0.4625, 0.446, 0.442, 0.4305, 0.429, 0.435, 0.437, 0.4365, 0.436, 0.434, 0.4355, 0.439, 0.4465, 0.448, 0.4415, 0.431, 0.4285, 0.429, 0.4285, 0.438, 0.435, 0.4405, 0.4325, 0.437, 0.4275, 0.424, 0.4275, 0.436, 0.4365, 0.4215, 0.419, 0.4255, 0.4215, 0.4215, 0.4175, 0.415, 0.416, 0.425, 0.422, 0.42, 0.4165, 0.413, 0.4105, 0.415, 0.4265, 0.4265, 0.4175, 0.4135, 0.406, 0.407, 0.406, 0.404, 0.406, 0.4, 0.4055, 0.41, 0.417, 0.4115, 0.408, 0.405, 0.3985, 0.404, 0.404, 0.399, 0.399, 0.396, 0.405, 0.398, 0.3945, 0.3885, 0.388, 0.398, 0.397, 0.402, 0.4035, 0.4095, 0.4015, 0.4095, 0.415, 0.416, 0.4015, 0.405, 0.4075, 0.405, 0.4005, 0.401, 0.4075, 0.395, 0.3845, 0.391, 0.404, 0.399, 0.4005, 0.405, 0.404, 0.401, 0.406, 0.407, 0.4105, 0.3935, 0.3965, 0.3955, 0.399, 0.403, 0.4095, 0.403, 0.4025, 0.3985, 0.3925, 0.387, 0.3825, 0.384, 0.3895, 0.39, 0.395, 0.3855, 0.4005, 0.3855, 0.3905, 0.393, 0.4015, 0.4025, 0.397, 0.4015, 0.3875, 0.386, 0.3805, 0.3845, 0.3845, 0.3785, 0.3885, 0.3885, 0.3915, 0.3655, 0.3725, 0.3755, 0.375, 0.369, 0.37, 0.3675, 0.3745, 0.3755, 0.377, 0.3735, 0.3645, 0.37, 0.371, 0.374, 0.388, 0.377, 0.382, 0.382, 0.38, 0.3785, 0.3875, 0.387, 0.3855, 0.3745, 0.3685, 0.3675, 0.379, 0.37, 0.367, 0.366, 0.354, 0.3635, 0.363, 0.3735, 0.368, 0.3795, 0.3705, 0.3605, 0.362, 0.367, 0.368, 0.374, 0.3725, 0.373, 0.367, 0.3745, 0.3725, 0.3795, 0.3665, 0.3625, 0.369, 0.373, 0.373, 0.3795, 0.3685, 0.35, 0.356, 0.3555, 0.3685, 0.367, 0.3675, 0.3635, 0.364, 0.358, 0.356, 0.356, 0.3635, 0.3535, 0.3645, 0.363, 0.364, 0.367, 0.3645, 0.3525, 0.353, 0.346, 0.351, 0.3465, 0.352, 0.3515, 0.352, 0.3535, 0.361, 0.359, 0.36, 0.354, 0.356, 0.35, 0.3465, 0.347, 0.3455, 0.344, 0.35, 0.3495, 0.3525, 0.3415, 0.339, 0.3455, 0.342, 0.346, 0.343, 0.349, 0.35, 0.354, 0.3435, 0.343, 0.349, 0.3505, 0.3445, 0.3445, 0.3515, 0.349, 0.3545, 0.357, 0.35, 0.3515, 0.3415, 0.3465, 0.3395, 0.3365, 0.3365, 0.3395, 0.334, 0.3465, 0.3305, 0.3295, 0.3425, 0.3275, 0.326, 0.3325, 0.3235, 0.3335, 0.329, 0.3285, 0.33, 0.3345, 0.333, 0.33, 0.3265, 0.327, 0.3285, 0.3255, 0.327, 0.3205, 0.3295, 0.3295, 0.326, 0.3255, 0.327, 0.328, 0.3385, 0.335, 0.341, 0.3365, 0.3255, 0.327, 0.3205, 0.3185, 0.3155, 0.3135, 0.311, 0.313, 0.3285, 0.3195, 0.317, 0.3165, 0.334, 0.32, 0.3265, 0.322, 0.3145, 0.3175, 0.33, 0.3335, 0.328, 0.3175, 0.3175, 0.3225, 0.3215, 0.3195, 0.3275, 0.327, 0.321, 0.336, 0.334, 0.3325, 0.324, 0.3155, 0.321, 0.3195, 0.3195, 0.3235, 0.3255, 0.3465, 0.3345, 0.3435, 0.3495, 0.3435, 0.342, 0.3285, 0.334, 0.3405, 0.3325, 0.336, 0.3325, 0.334, 0.333, 0.334, 0.3385, 0.3475, 0.3375, 0.339, 0.3305, 0.3325, 0.3335, 0.3185, 0.323, 0.313, 0.323, 0.312, 0.316, 0.323, 0.322, 0.319, 0.321, 0.32, 0.3205, 0.3335, 0.329, 0.341, 0.3325, 0.3425, 0.343, 0.33, 0.325, 0.3195, 0.33, 0.3335, 0.3235, 0.3175, 0.3165, 0.3185, 0.3285, 0.329, 0.325, 0.338, 0.335, 0.327, 0.334, 0.3235, 0.3195, 0.322, 0.3235, 0.3215, 0.328, 0.3265, 0.3265, 0.3185, 0.319, 0.326, 0.3205, 0.327, 0.313, 0.306, 0.3065, 0.3065, 0.319, 0.3205, 0.315, 0.3145, 0.318, 0.309, 0.3215, 0.3175, 0.3095, 0.3205, 0.308, 0.3145, 0.314, 0.307, 0.309, 0.3135, 0.3205, 0.32, 0.31, 0.318, 0.3215, 0.3225, 0.317, 0.328, 0.322, 0.324, 0.3315, 0.322, 0.3325, 0.3355, 0.331, 0.318, 0.3135, 0.3155, 0.324, 0.323, 0.329, 0.331, 0.3275, 0.328, 0.332, 0.331, 0.3265, 0.3225, 0.321, 0.3205, 0.326, 0.325, 0.32, 0.328, 0.326, 0.3265, 0.3245, 0.3235, 0.312, 0.3165, 0.325, 0.3255, 0.32, 0.325, 0.319, 0.316, 0.3135, 0.313, 0.3035, 0.3105, 0.3115, 0.314, 0.318, 0.3195, 0.3145, 0.3235, 0.3225, 0.318, 0.3125, 0.3305, 0.3275, 0.329, 0.333, 0.3355, 0.331, 0.3245, 0.3235, 0.3355, 0.32, 0.319, 0.3265, 0.3205, 0.316, 0.307, 0.3125, 0.3085, 0.316, 0.308, 0.297, 0.3045, 0.305, 0.3155, 0.3105, 0.3005, 0.3075, 0.322, 0.314, 0.3205, 0.3345, 0.322, 0.3205, 0.32, 0.327, 0.318, 0.3075, 0.3145, 0.313, 0.3205, 0.3185, 0.324, 0.321, 0.3135, 0.311, 0.322, 0.3185, 0.326, 0.3305, 0.321, 0.3255, 0.324, 0.318, 0.3245, 0.3285, 0.3295, 0.3295, 0.327, 0.332, 0.338, 0.3365, 0.3305, 0.319, 0.314, 0.3165, 0.3135, 0.3125, 0.3205, 0.3205, 0.321, 0.3255, 0.335, 0.325, 0.3275, 0.324, 0.333, 0.3285, 0.337, 0.3445, 0.3415, 0.346, 0.3425, 0.334, 0.335, 0.34, 0.336, 0.344, 0.34, 0.332, 0.3235, 0.323, 0.3125, 0.32, 0.3135, 0.311, 0.3085, 0.3235, 0.3095, 0.3205, 0.323, 0.3225, 0.321, 0.313, 0.3165, 0.3165, 0.3225, 0.3215, 0.3165, 0.3245, 0.324, 0.3235, 0.306, 0.301, 0.309, 0.307, 0.315, 0.307, 0.308, 0.3125, 0.3165, 0.3035, 0.306, 0.3055, 0.312, 0.3235, 0.318, 0.339, 0.3275, 0.3325, 0.328, 0.334, 0.328, 0.333, 0.339, 0.337, 0.337, 0.3355, 0.3375, 0.341, 0.336, 0.332, 0.3425, 0.343, 0.334, 0.334, 0.337, 0.3295, 0.3315, 0.331, 0.321, 0.324, 0.3345, 0.3195, 0.339, 0.3455, 0.336, 0.3395, 0.333, 0.335, 0.3285, 0.321, 0.3215, 0.322, 0.318, 0.32, 0.323, 0.314, 0.317, 0.3225, 0.3195, 0.335, 0.3375, 0.3375, 0.3375, 0.3365, 0.3345, 0.336, 0.3365, 0.3415, 0.348, 0.338, 0.35, 0.343, 0.3465, 0.338, 0.329, 0.3315, 0.3325, 0.331, 0.325, 0.3285, 0.3325, 0.3295, 0.329, 0.329, 0.3365, 0.328, 0.3305, 0.3265, 0.3295, 0.3265, 0.3275, 0.3205, 0.3255, 0.3295, 0.3305, 0.319, 0.324, 0.327, 0.326, 0.324, 0.3335, 0.335, 0.332, 0.333, 0.329, 0.334, 0.3295, 0.336, 0.3325, 0.339, 0.3285, 0.336, 0.3335, 0.329, 0.3305, 0.3215, 0.319, 0.3205, 0.3185, 0.317, 0.314, 0.3275, 0.3325, 0.3325, 0.3325, 0.321, 0.332, 0.3345, 0.332, 0.3275, 0.3295, 0.322, 0.3215, 0.326, 0.3255, 0.3255, 0.325, 0.3295, 0.3345, 0.32, 0.3145, 0.32, 0.3255, 0.3285, 0.3265, 0.328, 0.3335, 0.3335, 0.3295, 0.329, 0.3305, 0.3365, 0.335, 0.3295, 0.329, 0.321, 0.322, 0.325, 0.3325, 0.326, 0.327, 0.326, 0.3175, 0.3365, 0.3385, 0.332, 0.3445, 0.3365, 0.349, 0.3355, 0.3435, 0.356, 0.3455, 0.3475, 0.33, 0.3405, 0.3465, 0.3485, 0.3555, 0.346, 0.3345, 0.342, 0.3405, 0.335, 0.3475, 0.3475, 0.345, 0.3475, 0.3515, 0.3425, 0.3345, 0.3405, 0.355, 0.339, 0.3415, 0.342, 0.3495, 0.3425, 0.3385, 0.343, 0.3365, 0.324, 0.334, 0.327, 0.3405, 0.333, 0.327, 0.3415, 0.342, 0.3485, 0.3565, 0.366, 0.3565, 0.348, 0.351, 0.3555, 0.352, 0.3525, 0.3575, 0.353, 0.3635, 0.3575, 0.3565, 0.355, 0.3425, 0.362, 0.367, 0.358, 0.363, 0.367, 0.3635, 0.356, 0.363, 0.3575, 0.3575, 0.362, 0.3705, 0.37, 0.372, 0.37, 0.3785, 0.3705, 0.371, 0.379, 0.373, 0.3705, 0.3595, 0.364, 0.3645, 0.359, 0.3585, 0.3725, 0.3695, 0.368, 0.3705, 0.374, 0.3765, 0.3875, 0.382, 0.3845, 0.384, 0.39, 0.3955, 0.3855, 0.381, 0.385, 0.3925, 0.3895, 0.3805, 0.385, 0.383, 0.378, 0.385, 0.3795, 0.39, 0.3865, 0.3825, 0.383, 0.381, 0.393, 0.382, 0.3765, 0.3765, 0.382, 0.3795, 0.395, 0.391, 0.4, 0.3975, 0.3975, 0.4015, 0.4015, 0.402, 0.3995, 0.4005, 0.396, 0.3985, 0.387, 0.383, 0.3855, 0.386, 0.386, 0.3955, 0.389, 0.387, 0.3965, 0.4005, 0.392, 0.391, 0.3925, 0.392, 0.4, 0.3955, 0.392, 0.3835, 0.3945, 0.4045, 0.3965, 0.394, 0.384, 0.3755, 0.392, 0.385, 0.384, 0.3845, 0.3935, 0.3995, 0.3985, 0.3885, 0.3825, 0.3855, 0.385, 0.3995, 0.404, 0.4085, 0.411, 0.4, 0.405, 0.4055, 0.406, 0.406, 0.411, 0.4105, 0.4155, 0.423, 0.421, 0.422, 0.418, 0.415, 0.415, 0.422, 0.4145, 0.416, 0.4045, 0.409, 0.4135, 0.4115, 0.4205, 0.429, 0.427, 0.433, 0.4325, 0.4355, 0.44, 0.4385, 0.44, 0.4395, 0.43, 0.4335, 0.4385, 0.441, 0.435, 0.437, 0.441, 0.4435, 0.441, 0.4555, 0.45, 0.45, 0.447, 0.441, 0.438, 0.4395, 0.432, 0.4325, 0.4415, 0.4405, 0.435, 0.452, 0.4525, 0.4465, 0.4545, 0.4495, 0.4435, 0.4405, 0.4395, 0.4425, 0.448, 0.433, 0.433, 0.4465, 0.451, 0.4465, 0.445, 0.4475, 0.4375, 0.446, 0.447, 0.461, 0.464, 0.4585, 0.464, 0.4715, 0.463, 0.4665, 0.477, 0.4645, 0.462, 0.456, 0.468, 0.4725, 0.4755, 0.478, 0.473, 0.4765, 0.4715, 0.4705, 0.4825, 0.476, 0.4775, 0.4875, 0.479, 0.478, 0.4915, 0.479, 0.484, 0.479, 0.4925, 0.489, 0.4985, 0.51, 0.506, 0.507, 0.509, 0.506, 0.5005, 0.5015, 0.5075, 0.5015, 0.499, 0.5015, 0.4995, 0.5015, 0.4945, 0.502, 0.517, 0.5225, 0.5275, 0.5245, 0.5155, 0.521, 0.524, 0.5235, 0.5245, 0.529, 0.5215, 0.529, 0.523, 0.528, 0.5255, 0.532, 0.528, 0.537, 0.5405, 0.5385, 0.547, 0.558, 0.559, 0.548, 0.5525, 0.557, 0.553, 0.55, 0.566, 0.57, 0.572, 0.578, 0.574, 0.5735, 0.5825, 0.5885, 0.599, 0.5845, 0.591, 0.5955, 0.5995, 0.5925, 0.5945, 0.6005, 0.6075, 0.613, 0.626, 0.635, 0.6375, 0.6455, 0.635, 0.649, 0.6495, 0.6585, 0.663, 0.664, 0.672, 0.6745, 0.6705, 0.6655, 0.679, 0.6735, 0.678, 0.6825, 0.6885, 0.691, 0.6975, 0.7005, 0.708, 0.722, 0.7375, 0.7405, 0.735, 0.7465, 0.751, 0.758, 0.772, 0.7825, 0.7965, 0.8095, 0.8225, 0.8335, 0.876, 0.913
