Steps,1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 48000, 49000, 50000, 51000, 52000, 53000, 54000, 55000, 56000, 57000, 58000, 59000, 60000, 61000, 62000, 63000, 64000, 65000, 66000, 67000, 68000, 69000, 70000, 71000, 72000, 73000, 74000, 75000, 76000, 77000, 78000, 79000, 80000, 81000, 82000, 83000, 84000, 85000, 86000, 87000, 88000, 89000, 90000, 91000, 92000, 93000, 94000, 95000, 96000, 97000, 98000, 99000, 100000, 101000, 102000, 103000, 104000, 105000, 106000, 107000, 108000, 109000, 110000, 111000, 112000, 113000, 114000, 115000, 116000, 117000, 118000, 119000, 120000, 121000, 122000, 123000, 124000, 125000, 126000, 127000, 128000, 129000, 130000, 131000, 132000, 133000, 134000, 135000, 136000, 137000, 138000, 139000, 140000, 141000, 142000, 143000, 144000, 145000, 146000, 147000, 148000, 149000, 150000, 151000, 152000, 153000, 154000, 155000, 156000, 157000, 158000, 159000, 160000, 161000, 162000, 163000, 164000, 165000, 166000, 167000, 168000, 169000, 170000, 171000, 172000, 173000, 174000, 175000, 176000, 177000, 178000, 179000, 180000, 181000, 182000, 183000, 184000, 185000, 186000, 187000, 188000, 189000, 190000, 191000, 192000, 193000, 194000, 195000, 196000, 197000, 198000, 199000, 200000, 201000, 202000, 203000, 204000, 205000, 206000, 207000, 208000, 209000, 210000, 211000, 212000, 213000, 214000, 215000, 216000, 217000, 218000, 219000, 220000, 221000, 222000, 223000, 224000, 225000, 226000, 227000, 228000, 229000, 230000, 231000, 232000, 233000, 234000, 235000, 236000, 237000, 238000, 239000, 240000, 241000, 242000, 243000, 244000, 245000, 246000, 247000, 248000, 249000, 250000, 251000, 252000, 253000, 254000, 255000, 256000, 257000, 258000, 259000, 260000, 261000, 262000, 263000, 264000, 265000, 266000, 267000, 268000, 269000, 270000, 271000, 272000, 273000, 274000, 275000, 276000, 277000, 278000, 279000, 280000, 281000, 282000, 283000, 284000, 285000, 286000, 287000, 288000, 289000, 290000, 291000, 292000, 293000, 294000, 295000, 296000, 297000, 298000, 299000, 300000
Times,0.156955, 0.308127, 0.45322, 0.603503, 0.764208, 0.913787, 1.06563, 1.2166, 1.36961, 1.52574, 1.68086, 1.83413, 1.98291, 2.13406, 2.28638, 2.43902, 2.59429, 2.7524, 2.90108, 3.05848, 3.21391, 3.37221, 3.52852, 3.67827, 3.83762, 3.987, 4.13287, 4.28668, 4.43266, 4.58861, 4.73884, 4.89648, 5.04903, 5.20606, 5.36372, 5.52256, 5.6767, 5.83442, 5.98694, 6.13806, 6.28782, 6.43868, 6.58765, 6.74445, 6.90087, 7.04993, 7.20217, 7.35526, 7.51847, 7.67664, 7.82466, 7.97373, 8.12613, 8.27726, 8.42047, 8.5751, 8.7316, 8.88732, 9.03853, 9.19084, 9.34607, 9.50787, 9.65634, 9.81317, 9.97238, 10.1278, 10.2859, 10.4361, 10.5852, 10.7457, 10.899, 11.0464, 11.2005, 11.3688, 11.5236, 11.6722, 11.8253, 11.9817, 12.135, 12.2928, 12.4473, 12.5886, 12.7376, 12.8894, 13.0524, 13.2078, 13.3552, 13.5109, 13.6641, 13.8187, 13.9618, 14.1143, 14.2682, 14.4215, 14.581, 14.7246, 14.8743, 15.0307, 15.1834, 15.3293, 15.4949, 15.6471, 15.8, 15.9444, 16.1047, 16.2626, 16.4183, 16.5773, 16.7259, 16.878, 17.0277, 17.1891, 17.3431, 17.501, 17.6545, 17.8053, 17.9657, 18.1188, 18.2691, 18.425, 18.577, 18.7235, 18.877, 19.0288, 19.1851, 19.3477, 19.4956, 19.6457, 19.8034, 19.96, 20.1058, 20.2606, 20.4117, 20.5679, 20.7207, 20.8745, 21.0259, 21.1753, 21.3363, 21.4946, 21.6423, 21.7912, 21.9472, 22.1102, 22.2624, 22.4212, 22.5728, 22.7253, 22.877, 23.0345, 23.1812, 23.3306, 23.4917, 23.6446, 23.7995, 23.9568, 24.1107, 24.2806, 24.4412, 24.6006, 24.7502, 24.9003, 25.0518, 25.2144, 25.3687, 25.5236, 25.6806, 25.8344, 25.9926, 26.1419, 26.2949, 26.4463, 26.5951, 26.7552, 26.9056, 27.0632, 27.2294, 27.3772, 27.5307, 27.6879, 27.8511, 28.0014, 28.1519, 28.3061, 28.4539, 28.6143, 28.7575, 28.9149, 29.0663, 29.2154, 29.3632, 29.515, 29.6642, 29.8191, 29.9735, 30.1244, 30.2696, 30.4212, 30.5727, 30.7282, 30.88, 31.0398, 31.1885, 31.337, 31.4902, 31.6439, 31.8003, 31.9511, 32.1042, 32.2634, 32.4097, 32.5637, 32.7158, 32.8732, 33.023, 33.1702, 33.3337, 33.4874, 33.638, 33.7975, 33.962, 34.1182, 34.2602, 34.4182, 34.5637, 34.724, 34.8832, 35.0369, 35.1853, 35.348, 35.5053, 35.6582, 35.8086, 35.9631, 36.1177, 36.2723, 36.4205, 36.5728, 36.7284, 36.8951, 37.0522, 37.2042, 37.36, 37.5105, 37.6586, 37.8132, 37.9585, 38.1138, 38.2732, 38.429, 38.5827, 38.7352, 38.8877, 39.0419, 39.205, 39.3625, 39.511, 39.6735, 39.8238, 39.977, 40.1257, 40.2752, 40.4313, 40.5928, 40.7474, 40.9034, 41.0611, 41.2245, 41.3744, 41.523, 41.6783, 41.8259, 41.9817, 42.1412, 42.2902, 42.4458, 42.6047, 42.7633, 42.9164, 43.063, 43.2227, 43.3743, 43.5344, 43.6942, 43.8465, 43.9953, 44.1532, 44.3076, 44.4706, 44.6201, 44.7811, 44.9334, 45.0867, 45.2445, 45.4028, 45.5537, 45.7149, 45.8771, 46.0325, 46.1907
<Sz>,0.0234375, 0.015625, 0.078125, 0.046875, 0.0390625, 0.0390625, 0.0390625, 0.046875, 0.046875, 0.0390625, 0.046875, 0.046875, 0.0390625, 0.015625, 0.03125, 0.046875, 0.0390625, 0.0546875, 0.078125, 0.0390625, 0.0234375, 0.0390625, 0.03125, 0.046875, 0.0546875, 0.015625, 0.0546875, 0.0234375, 0.0234375, 0.0390625, 0.0390625, 0.015625, 0.015625, 0.015625, 0.03125, 0.0234375, 0.0234375, 0.03125, 0.0390625, 0.0234375, 0.0390625, 0.03125, 0.09375, 0.03125, 0.0546875, 0.0546875, 0.015625, 0.03125, 0.03125, 0.0546875, 0.03125, 0.0390625, 0.0234375, 0.0390625, 0.0390625, 0.03125, 0.0390625, 0.0234375, 0.03125, 0.0390625, 0.0234375, 0.0390625, 0.0390625, 0.0625, 0.0546875, 0.0703125, 0.046875, 0.0390625, 0.03125, 0.03125, 0.0390625, 0.0234375, 0.015625, 0.0546875, 0.015625, 0.0390625, 0.03125, 0.0234375, 0.015625, 0.0390625, 0.0234375, 0.0078125, 0.046875, 0.03125, 0, 0.0234375, 0.015625, 0.0625, 0.0625, 0.0390625, 0.03125, 0.03125, 0.046875, 0.03125, 0.03125, 0.0703125, 0.0703125, 0.046875, 0.0546875, 0.03125, 0.0234375, 0.03125, 0.0078125, 0.015625, 0.03125, 0.0390625, 0.03125, 0.03125, 0.03125, 0.0546875, 0.0234375, 0.03125, 0.0546875, 0.0546875, 0.046875, 0.0234375, 0.0234375, 0.046875, 0.0390625, 0.03125, 0.03125, 0.0546875, 0.0390625, 0.0234375, 0.03125, 0.0546875, 0.0234375, 0.03125, 0.0625, 0.046875, 0.015625, 0.0546875, 0.0234375, 0.046875, 0.046875, 0.015625, 0, 0.0234375, 0.0390625, 0.03125, 0.03125, 0.015625, 0.03125, 0.0234375, 0.0078125, 0.03125, 0.0390625, 0.046875, 0.046875, 0.0546875, 0.0625, 0.0234375, 0.046875, 0.0625, 0.0546875, 0.015625, 0.0390625, 0.0546875, 0.03125, 0.03125, 0.0234375, 0.015625, 0.015625, 0.046875, 0.0546875, 0.0234375, 0.0625, 0.0390625, 0.03125, 0.0546875, 0.03125, 0.03125, 0.03125, 0.0234375, 0.0390625, 0.03125, 0.0546875, 0.0390625, 0.046875, 0.03125, 0.0390625, 0.015625, 0.015625, 0.046875, 0.0703125, 0.03125, 0.015625, 0.046875, 0.015625, 0.046875, 0.03125, 0.0390625, 0.046875, 0.046875, 0.0234375, 0.015625, 0.0390625, 0.046875, 0.0703125, 0.046875, 0.0234375, 0.046875, 0.0234375, 0.0625, 0.0234375, 0.03125, 0.0703125, 0.015625, 0.0625, 0.046875, 0.0234375, 0.0703125, 0.015625, 0.0625, 0.015625, 0.046875, 0.03125, 0.078125, 0.0234375, 0.0234375, 0.03125, 0.0234375, 0.03125, 0.03125, 0.0390625, 0.03125, 0.0390625, 0.0546875, 0.0625, 0.078125, 0.03125, 0.046875, 0.015625, 0.015625, 0.0390625, 0.015625, 0.03125, 0.0546875, 0.046875, 0.015625, 0.03125, 0.0625, 0.0078125, 0.0234375, 0.0390625, 0.03125, 0.03125, 0.0390625, 0.0703125, 0.046875, 0.03125, 0.0078125, 0.0390625, 0.0703125, 0.03125, 0.0625, 0.0390625, 0.0390625, 0.015625, 0.03125, 0.0390625, 0.0390625, 0.0234375, 0.046875, 0.0234375, 0.046875, 0.015625, 0.015625, 0.0390625, 0.03125, 0.0234375, 0.0390625, 0.046875, 0.0234375, 0.046875, 0.0234375, 0.0546875, 0.0390625, 0.0234375, 0.0390625, 0.046875, 0.03125, 0.03125, 0.0234375, 0.0546875, 0.015625, 0.03125, 0.0546875, 0.0234375, 0.0234375, 0.0390625, 0.0078125, 0.0703125, 0.0234375, 0.0234375, 0.03125, 0.046875, 0.0390625, 0.0234375, 0.0234375
<Sx>,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
