Steps,1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 48000, 49000, 50000, 51000, 52000, 53000, 54000, 55000, 56000, 57000, 58000, 59000, 60000, 61000, 62000, 63000, 64000, 65000, 66000, 67000, 68000, 69000, 70000, 71000, 72000, 73000, 74000, 75000, 76000, 77000, 78000, 79000, 80000, 81000, 82000, 83000, 84000, 85000, 86000, 87000, 88000, 89000, 90000, 91000, 92000, 93000, 94000, 95000, 96000, 97000, 98000, 99000, 100000
Times,0.185478, 0.375224, 0.568809, 0.757104, 0.940081, 1.13084, 1.31773, 1.4991, 1.68233, 1.86808, 2.05254, 2.2489, 2.42921, 2.61705, 2.79181, 2.97904, 3.18608, 3.37061, 3.56, 3.75103, 3.93835, 4.12468, 4.31195, 4.5048, 4.69845, 4.88734, 5.07648, 5.25581, 5.44806, 5.63524, 5.81295, 6.01183, 6.20739, 6.40455, 6.58824, 6.77041, 6.96169, 7.15722, 7.35486, 7.53819, 7.72514, 7.90367, 8.09241, 8.27361, 8.45529, 8.64406, 8.84189, 9.03953, 9.22789, 9.42062, 9.6063, 9.79512, 9.9783, 10.1631, 10.3585, 10.5319, 10.7145, 10.906, 11.089, 11.2716, 11.4601, 11.6383, 11.8219, 12.0136, 12.2032, 12.4029, 12.5881, 12.7724, 12.9609, 13.148, 13.3262, 13.5146, 13.6948, 13.8768, 14.0708, 14.2501, 14.4406, 14.625, 14.8012, 14.9753, 15.1605, 15.3528, 15.5482, 15.753, 15.9469, 16.1346, 16.3248, 16.5164, 16.6962, 16.8831, 17.0644, 17.2465, 17.4342, 17.6314, 17.8135, 17.9987, 18.1842, 18.3672, 18.5433, 18.7192
<Sz>,0.03125, 0.03125, 0.015625, 0.046875, 0.0703125, 0.0390625, 0.0390625, 0.0546875, 0.0546875, 0.0859375, 0.0546875, 0.0546875, 0.0234375, 0.0390625, 0.015625, 0.03125, 0.109375, 0.0078125, 0.0859375, 0.03125, 0.0546875, 0.0703125, 0.03125, 0.046875, 0.0546875, 0.0546875, 0.03125, 0.0625, 0.03125, 0.046875, 0.046875, 0.03125, 0.046875, 0.0625, 0.015625, 0.015625, 0.0390625, 0.0546875, 0.03125, 0.046875, 0.0390625, 0.0625, 0, 0.0546875, 0.0703125, 0.0546875, 0.078125, 0.015625, 0.0703125, 0.046875, 0.046875, 0.0390625, 0.015625, 0.0390625, 0.0234375, 0.03125, 0.0390625, 0.0703125, 0.046875, 0.046875, 0.03125, 0.046875, 0.0234375, 0.0390625, 0.0234375, 0.0546875, 0.0546875, 0.03125, 0.0625, 0.0546875, 0.0703125, 0.0390625, 0.0234375, 0.0390625, 0.0546875, 0.0546875, 0.0703125, 0.0390625, 0.0390625, 0.0234375, 0.046875, 0.109375, 0.0234375, 0.0703125, 0.0390625, 0.03125, 0.0703125, 0.015625, 0.078125, 0.078125, 0.0390625, 0.03125, 0.0546875, 0.0078125, 0.015625, 0.03125, 0.078125, 0.0234375, 0.0546875, 0.0703125
<Sx>,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
