Steps,1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 48000, 49000, 50000, 51000, 52000, 53000, 54000, 55000, 56000, 57000, 58000, 59000, 60000, 61000, 62000, 63000, 64000, 65000, 66000, 67000, 68000, 69000, 70000, 71000, 72000, 73000, 74000, 75000, 76000, 77000, 78000, 79000, 80000, 81000, 82000, 83000, 84000, 85000, 86000, 87000, 88000, 89000, 90000, 91000, 92000, 93000, 94000, 95000, 96000, 97000, 98000, 99000, 100000
Times,4.69585, 13.7641, 22.2341, 30.4663, 38.8709, 46.7697, 56.4042, 67.7601, 78.7325, 88.3069, 97.4984, 103.168, 115.701, 126.834, 137.688, 148.149, 157.664, 167.553, 181.003, 192.441, 201.512, 208.258, 216.495, 224.415, 234.831, 245.122, 255.709, 267.12, 277.201, 286.662, 295.257, 305.597, 314.965, 323.35, 335.697, 348.372, 358.1, 366.628, 376.357, 386.64, 396.873, 406.558, 418.738, 430.262, 441.658, 451.254, 460.998, 472, 482.264, 491.352, 502.133, 511.596, 522.566, 532.355, 540.849, 551.72, 562.539, 572.185, 582.275, 591.651, 599.355, 610.412, 620.823, 632.965, 642.198, 653.089, 663.982, 673.889, 683.385, 692.847, 703.455, 709.817, 720.487, 730.938, 742.099, 749.584, 756.269, 764.464, 774.426, 784.272, 795.517, 805.316, 814.54, 823.227, 833.328, 841.682, 854.226, 861.855, 871.418, 880.669, 892.9, 901.355, 910.543, 918.542, 924.757, 933.567, 945.07, 955.575, 965.363, 975.988
<Sz>,0.0078125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.789062, 0, 0, 0.8125, 0, 0, 0, 0, 0, 0.132812, 0.382812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.210938, 0, 0.132812, 0, 0, 0, 0.53125, 0, 0.25, 0, 0.632812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.203125, 0.6875, 0, 0, 0, 0.914062, 0, 0, 0, 0
<Sx>,0.5, 0.125, 0.5, 0.25, 0.625, 0.625, 0.375, 0.125, 0.25, 0.25, 0.75, 0.625, 0.125, 0.25, 0.125, 0.125, 0.375, 0, 0, 0.625, 0.125, 0.75, 0.625, 0.5, 0.125, 0.5, 0.375, 0.125, 0.5, 0.875, 0.5, 0.25, 0.25, 0.125, 0.125, 0, 0.25, 0.375, 0.375, 0.25, 0.375, 0.25, 0.125, 0.25, 0, 0.25, 0.75, 0.375, 0.125, 0.25, 0.125, 0.625, 0.25, 0.375, 0.5, 0.125, 0.375, 0.25, 0.25, 0.5, 0.75, 0.375, 0.125, 0.375, 0.125, 0.5, 0.125, 0.375, 0.5, 0.5, 0.5, 0.5, 0.375, 0.125, 0.375, 0.625, 0.25, 0.125, 0.25, 0.25, 0.5, 0.375, 0.5, 0.375, 0.375, 0.125, 0.375, 0.5, 0.625, 0.125, 0.375, 0.125, 0.5, 0.5, 0.625, 0.125, 0.25, 0.25, 0.125, 0.375
