name, average, error
steps,1.0099e+06,191485
times,47.1553,8.94693
sx,0.170635,0.000306443
sz,-0.005584,0.00319039
mag,0.330094,0.00167606
mag2,0.153861,0.00137255
mag4,0.0498651,0.000780274
cluster size,1,0
corr_x,1
corr_t,1, 0.6432, 0.5414, 0.4668, 0.4202, 0.3724, 0.3554, 0.3232, 0.3004, 0.2716, 0.2624, 0.2548, 0.2312, 0.2252, 0.205, 0.203, 0.1956, 0.18, 0.1716, 0.1626, 0.1638, 0.157, 0.152, 0.1544, 0.1526, 0.1466, 0.138, 0.139, 0.138, 0.1276, 0.1176, 0.134, 0.1056, 0.117, 0.1218, 0.1084, 0.1018, 0.1022, 0.0992, 0.1112, 0.1014, 0.1032, 0.0928, 0.088, 0.0912, 0.0996, 0.0906, 0.0872, 0.0842, 0.0764, 0.0732, 0.0828, 0.0916, 0.0922, 0.082, 0.084, 0.0818, 0.0676, 0.072, 0.0698, 0.0708, 0.0664, 0.0716, 0.0652, 0.0844, 0.079, 0.075, 0.0768, 0.0758, 0.0854, 0.076, 0.0694, 0.077, 0.0732, 0.0732, 0.062, 0.0694, 0.0694, 0.0806, 0.0782, 0.06, 0.0746, 0.062, 0.074, 0.0666, 0.0704, 0.084, 0.077, 0.088, 0.0798, 0.0704, 0.0734, 0.0702, 0.0688, 0.072, 0.068, 0.0774, 0.0696, 0.0704, 0.0752, 0.0726, 0.0642, 0.0724, 0.0718, 0.0708, 0.0606, 0.066, 0.068, 0.0712, 0.078, 0.0742, 0.0858, 0.082, 0.0736, 0.0634, 0.0774, 0.0682, 0.0652, 0.0704, 0.0766, 0.0616, 0.0624, 0.0556, 0.0534, 0.0754, 0.0654, 0.067, 0.0634, 0.0712, 0.0682, 0.073, 0.0678, 0.0646, 0.0678, 0.069, 0.0672, 0.0606, 0.0688, 0.0764, 0.0752, 0.0838, 0.0872, 0.0954, 0.082, 0.08, 0.0766, 0.0838, 0.0706, 0.079, 0.0672, 0.081, 0.0986, 0.104, 0.093, 0.0858, 0.094, 0.081, 0.1008, 0.0932, 0.0918, 0.0972, 0.101, 0.1, 0.0904, 0.1082, 0.1126, 0.1244, 0.1244, 0.1122, 0.1158, 0.106, 0.1126, 0.1244, 0.1324, 0.1264, 0.1316, 0.1486, 0.154, 0.1552, 0.169, 0.1754, 0.1698, 0.1744, 0.1846, 0.1736, 0.1822, 0.2014, 0.207, 0.1954, 0.226, 0.2444, 0.266, 0.2898, 0.3104, 0.3276, 0.37, 0.4106, 0.4572, 0.5248, 0.6466
