name, average, error
steps,2.5095e+06,478714
times,1120.5,213.631
sx,0.102925,0.000160399
sz,0.0050232,0.00448926
mag,0.299716,0.00149394
mag2,0.127496,0.00133358
mag4,0.034726,0.000758313
cluster size,1,0
corr_x,1
corr_t,1, 0.7692, 0.6912, 0.6408, 0.598, 0.5864, 0.5624, 0.5544, 0.5272, 0.5172, 0.5096, 0.4876, 0.4756, 0.4728, 0.464, 0.4596, 0.4624, 0.4548, 0.4424, 0.4244, 0.4268, 0.4028, 0.4056, 0.4, 0.396, 0.4, 0.3924, 0.3924, 0.3728, 0.374, 0.3748, 0.3748, 0.372, 0.368, 0.37, 0.3616, 0.3688, 0.3604, 0.37, 0.356, 0.366, 0.354, 0.3364, 0.3492, 0.3444, 0.3212, 0.3192, 0.32, 0.3252, 0.3264, 0.312, 0.3056, 0.3056, 0.3136, 0.2908, 0.2984, 0.294, 0.3008, 0.2964, 0.2772, 0.2756, 0.2824, 0.2824, 0.288, 0.278, 0.2708, 0.2812, 0.2752, 0.2748, 0.272, 0.2672, 0.266, 0.2628, 0.2716, 0.2612, 0.2692, 0.2696, 0.2612, 0.2528, 0.25, 0.262, 0.2536, 0.2456, 0.2352, 0.2344, 0.2296, 0.2248, 0.234, 0.2336, 0.242, 0.2304, 0.2368, 0.2308, 0.2324, 0.2228, 0.2256, 0.238, 0.2228, 0.2296, 0.22, 0.222, 0.2124, 0.226, 0.2252, 0.2368, 0.2224, 0.2232, 0.2192, 0.2108, 0.2088, 0.22, 0.2284, 0.2248, 0.2304, 0.2228, 0.2152, 0.2264, 0.2316, 0.2308, 0.222, 0.214, 0.2212, 0.222, 0.2208, 0.2008, 0.2088, 0.1824, 0.1976, 0.2036, 0.188, 0.194, 0.1852, 0.1932, 0.1952, 0.1992, 0.196, 0.1912, 0.1756, 0.1816, 0.1768, 0.19, 0.1768, 0.1872, 0.1752, 0.1804, 0.1736, 0.1712, 0.168, 0.168, 0.1752, 0.1708, 0.1696, 0.154, 0.1644, 0.1772, 0.1736, 0.1784, 0.1684, 0.166, 0.168, 0.1632, 0.1648, 0.16, 0.15, 0.1648, 0.1592, 0.168, 0.168, 0.1644, 0.1576, 0.1656, 0.1604, 0.1528, 0.148, 0.1592, 0.162, 0.148, 0.1524, 0.1488, 0.1484, 0.1452, 0.1464, 0.1524, 0.1396, 0.1356, 0.1552, 0.1572, 0.1556, 0.1432, 0.14, 0.1416, 0.1432, 0.1448, 0.1512, 0.1416, 0.1456, 0.1408, 0.148, 0.154, 0.1448, 0.1412, 0.1332, 0.1388, 0.1272, 0.1416, 0.1348, 0.126, 0.1168, 0.1188, 0.1272, 0.132, 0.1332, 0.1368, 0.1224, 0.136, 0.1364, 0.1188, 0.1212, 0.112, 0.1332, 0.1128, 0.1316, 0.132, 0.1328, 0.1224, 0.1412, 0.132, 0.13, 0.1308, 0.126, 0.1088, 0.1164, 0.1048, 0.1076, 0.1016, 0.1072, 0.124, 0.1044, 0.0956, 0.1088, 0.112, 0.1052, 0.108, 0.1096, 0.1128, 0.116, 0.1012, 0.1128, 0.1144, 0.1084, 0.1052, 0.116, 0.12, 0.1148, 0.102, 0.1076, 0.1152, 0.098, 0.1116, 0.1208, 0.1084, 0.1084, 0.1024, 0.0908, 0.1112, 0.1176, 0.1284, 0.1208, 0.102, 0.1136, 0.1184, 0.118, 0.1136, 0.112, 0.1148, 0.1168, 0.1112, 0.1096, 0.108, 0.116, 0.1076, 0.1204, 0.126, 0.1272, 0.1112, 0.1192, 0.1076, 0.1148, 0.1192, 0.1168, 0.1344, 0.1216, 0.122, 0.1192, 0.114, 0.108, 0.1256, 0.1216, 0.1052, 0.1052, 0.098, 0.1032, 0.108, 0.1332, 0.1164, 0.1204, 0.1128, 0.1028, 0.1124, 0.1056, 0.11, 0.1064, 0.0872, 0.1008, 0.1028, 0.0888, 0.0904, 0.1, 0.1072, 0.104, 0.0984, 0.0808, 0.0904, 0.1088, 0.0936, 0.094, 0.0924, 0.0912, 0.0928, 0.0916, 0.1028, 0.112, 0.112, 0.1092, 0.1116, 0.1128, 0.1232, 0.132, 0.1048, 0.0936, 0.094, 0.0988, 0.1036, 0.0856, 0.0988, 0.108, 0.1108, 0.1064, 0.1152, 0.1104, 0.1168, 0.1088, 0.0992, 0.1052, 0.09, 0.0824, 0.082, 0.0864, 0.0896, 0.0984, 0.0836, 0.0884, 0.0876, 0.0884, 0.0976, 0.0804, 0.0988, 0.1004, 0.0828, 0.0908, 0.0928, 0.0796, 0.0884, 0.0804, 0.074, 0.0784, 0.0804, 0.082, 0.0736, 0.092, 0.0816, 0.0804, 0.0932, 0.0792, 0.0868, 0.0888, 0.0812, 0.0816, 0.0676, 0.0632, 0.074, 0.0788, 0.084, 0.062, 0.0784, 0.0704, 0.0732, 0.0824, 0.076, 0.084, 0.0776, 0.0944, 0.0852, 0.0728, 0.0788, 0.0728, 0.0808, 0.0836, 0.0816, 0.0804, 0.0812, 0.0764, 0.084, 0.074, 0.088, 0.0984, 0.0884, 0.1076, 0.0876, 0.092, 0.0856, 0.0944, 0.0932, 0.0916, 0.0916, 0.09, 0.0916, 0.0948, 0.0928, 0.0848, 0.082, 0.0632, 0.066, 0.0816, 0.072, 0.082, 0.0748, 0.0804, 0.0884, 0.082, 0.0696, 0.074, 0.0748, 0.0688, 0.0716, 0.0708, 0.0804, 0.096, 0.1024, 0.0828, 0.0844, 0.0772, 0.0664, 0.0692, 0.0744, 0.084, 0.0936, 0.0808, 0.0672, 0.0796, 0.0776, 0.0872, 0.066, 0.0736, 0.0792, 0.0784, 0.0872, 0.0856, 0.082, 0.0868, 0.0876, 0.0932, 0.0912, 0.0924, 0.1056, 0.0984, 0.1024, 0.0964, 0.0972, 0.0876, 0.0844, 0.0944, 0.0792, 0.094, 0.09, 0.0796, 0.0888, 0.1, 0.1116, 0.0936, 0.082, 0.0824, 0.0924, 0.068, 0.0772, 0.0796, 0.0672, 0.0628, 0.0728, 0.074, 0.0572, 0.0572, 0.066, 0.0816, 0.088, 0.0776, 0.0636, 0.0648, 0.0776, 0.0692, 0.0688, 0.0756, 0.0584, 0.0548, 0.0564, 0.0572, 0.0536, 0.0628, 0.0564, 0.0524, 0.0632, 0.066, 0.0704, 0.0656, 0.0688, 0.0648, 0.0668, 0.0604, 0.0588, 0.0452, 0.0676, 0.0756, 0.0716, 0.0768, 0.0728, 0.066, 0.0724, 0.0584, 0.07, 0.0692, 0.0832, 0.0736, 0.0756, 0.0736, 0.0764, 0.0768, 0.0744, 0.0644, 0.0556, 0.0616, 0.0648, 0.0644, 0.052, 0.0568, 0.076, 0.0708, 0.0616, 0.0612, 0.0628, 0.0668, 0.0584, 0.0728, 0.0816, 0.0776, 0.0848, 0.07, 0.0792, 0.088, 0.0876, 0.0888, 0.0792, 0.0848, 0.0696, 0.074, 0.056, 0.0692, 0.0712, 0.0716, 0.074, 0.0728, 0.0776, 0.0672, 0.054, 0.0568, 0.0488, 0.0516, 0.0548, 0.06, 0.0352, 0.0672, 0.0536, 0.0676, 0.058, 0.058, 0.0516, 0.046, 0.0404, 0.0508, 0.0612, 0.0428, 0.0472, 0.0404, 0.0388, 0.0388, 0.0456, 0.046, 0.044, 0.042, 0.0388, 0.0384, 0.0392, 0.0456, 0.0448, 0.04, 0.0296, 0.0352, 0.0412, 0.0344, 0.042, 0.0416, 0.0328, 0.0432, 0.042, 0.048, 0.04, 0.0448, 0.0432, 0.0432, 0.0428, 0.0404, 0.056, 0.0544, 0.0364, 0.0504, 0.0444, 0.0408, 0.0412, 0.0508, 0.0476, 0.0388, 0.0496, 0.0496, 0.0544, 0.054, 0.0536, 0.058, 0.0636, 0.072, 0.0516, 0.07, 0.0524, 0.0636, 0.0704, 0.0588, 0.0492, 0.034, 0.0472, 0.0536, 0.054, 0.0424, 0.0404, 0.0544, 0.0536, 0.046, 0.0528, 0.0496, 0.0404, 0.0492, 0.0496, 0.0508, 0.052, 0.0368, 0.0596, 0.0452, 0.0468, 0.0508, 0.0488, 0.0484, 0.0428, 0.0472, 0.0516, 0.0516, 0.0588, 0.0528, 0.046, 0.0464, 0.0532, 0.0484, 0.0644, 0.0548, 0.0592, 0.0436, 0.054, 0.0452, 0.0376, 0.0372, 0.0532, 0.0532, 0.058, 0.0564, 0.0516, 0.054, 0.0632, 0.0628, 0.0596, 0.0628, 0.0628, 0.07, 0.0512, 0.0624, 0.0564, 0.056, 0.0548, 0.056, 0.0432, 0.0624, 0.0544, 0.0684, 0.066, 0.062, 0.0544, 0.0628, 0.0668, 0.0696, 0.0668, 0.0712, 0.0596, 0.0772, 0.0612, 0.0652, 0.0708, 0.0576, 0.058, 0.0604, 0.0592, 0.062, 0.0592, 0.0536, 0.0392, 0.0464, 0.0536, 0.046, 0.0436, 0.0524, 0.044, 0.0516, 0.038, 0.0464, 0.048, 0.048, 0.0344, 0.0388, 0.0428, 0.0464, 0.0476, 0.0632, 0.0464, 0.0556, 0.04, 0.0436, 0.0492, 0.0512, 0.0464, 0.048, 0.042, 0.042, 0.0484, 0.058, 0.0552, 0.0452, 0.0448, 0.052, 0.0552, 0.0384, 0.0548, 0.0456, 0.0452, 0.0436, 0.0508, 0.048, 0.0472, 0.042, 0.0444, 0.048, 0.04, 0.0488, 0.0392, 0.0452, 0.0344, 0.0352, 0.0492, 0.0424, 0.0268, 0.0268, 0.0384, 0.04, 0.0508, 0.038, 0.0316, 0.0476, 0.0376, 0.0436, 0.0196, 0.0284, 0.0396, 0.0524, 0.0556, 0.0536, 0.0384, 0.0504, 0.0616, 0.0608, 0.0412, 0.0444, 0.0592, 0.0512, 0.0516, 0.0644, 0.0536, 0.0532, 0.0464, 0.0476, 0.0512, 0.0516, 0.052, 0.0412, 0.0272, 0.026, 0.0308, 0.036, 0.0368, 0.0408, 0.034, 0.0372, 0.0456, 0.0376, 0.0352, 0.0492, 0.052, 0.0424, 0.0332, 0.0284, 0.0244, 0.0332, 0.0388, 0.0432, 0.0348, 0.0556, 0.0472, 0.046, 0.0452, 0.0412, 0.0484, 0.0336, 0.0464, 0.0288, 0.04, 0.0356, 0.034, 0.0404, 0.0488, 0.0508, 0.0412, 0.0448, 0.0444, 0.0456, 0.03, 0.0416, 0.0424, 0.0456, 0.0332, 0.0396, 0.0224, 0.0332, 0.0344, 0.0172, 0.0172, 0.0336, 0.0304, 0.0396, 0.0308, 0.0272, 0.0312, 0.0332, 0.0464, 0.0376, 0.0328, 0.038, 0.0264, 0.0352, 0.0352, 0.024, 0.04, 0.0356, 0.0428, 0.0324, 0.042, 0.0348, 0.0392, 0.0344, 0.024, 0.0368, 0.0488, 0.0412, 0.036, 0.0296, 0.0272, 0.0092, 0.0232, 0.0068, 0.0224, 0.0208, 0.0164, 0.0168, 0.0232, 0.0392, 0.024, 0.018, 0.0296, 0.032, 0.0508, 0.048, 0.0524, 0.0592, 0.056, 0.0452, 0.0544, 0.046, 0.0524, 0.04, 0.0336, 0.0304, 0.0284, 0.0148, 0.0352, 0.04, 0.0252, 0.0268, 0.0372, 0.046, 0.0328, 0.048, 0.0396, 0.0452, 0.0468, 0.0456, 0.042, 0.044, 0.0532, 0.0556, 0.0436, 0.042, 0.0524, 0.038, 0.0476, 0.0336, 0.0372, 0.048, 0.05, 0.0508, 0.0532, 0.0428, 0.042, 0.05, 0.0508, 0.0472, 0.0508, 0.064, 0.0728, 0.0764, 0.0572, 0.0608, 0.0584, 0.0564, 0.0596, 0.06, 0.06, 0.0556, 0.0684, 0.0564, 0.052, 0.0596, 0.0564, 0.0556, 0.0456, 0.044, 0.0524, 0.044, 0.0568, 0.0516, 0.0604, 0.0548, 0.0492, 0.0592, 0.0568, 0.0524, 0.0492, 0.056, 0.0456, 0.0328, 0.0492, 0.0412, 0.0432, 0.0572, 0.0588, 0.0476, 0.0476, 0.0576, 0.0424, 0.0324, 0.0344, 0.038, 0.0376, 0.036, 0.0384, 0.0372, 0.0288, 0.0324, 0.044, 0.04, 0.0484, 0.0444, 0.0316, 0.0304, 0.0356, 0.0508, 0.038, 0.0344, 0.0296, 0.0312, 0.0296, 0.0228, 0.0348, 0.0256, 0.0324, 0.0388, 0.0456, 0.056, 0.0696, 0.0508, 0.0628, 0.07, 0.0548, 0.048, 0.056, 0.0452, 0.0484, 0.048, 0.0524, 0.0524, 0.056, 0.068, 0.0648, 0.0448, 0.0432, 0.0336, 0.0428, 0.042, 0.0456, 0.042, 0.0524, 0.0552, 0.0372, 0.0528, 0.066, 0.0544, 0.0596, 0.0564, 0.0604, 0.0584, 0.0576, 0.0524, 0.058, 0.06, 0.0512, 0.064, 0.0668, 0.0736, 0.0704, 0.07, 0.0688, 0.0616, 0.074, 0.0776, 0.0716, 0.0704, 0.0888, 0.0896, 0.08, 0.0832, 0.086, 0.0696, 0.0796, 0.0772, 0.0916, 0.0788, 0.0896, 0.0872, 0.0804, 0.0744, 0.062, 0.0632, 0.0572, 0.0552, 0.0512, 0.0452, 0.0416, 0.0564, 0.0612, 0.0512, 0.0368, 0.05, 0.0496, 0.0456, 0.0644, 0.0512, 0.058, 0.0428, 0.0536, 0.0496, 0.06, 0.0672, 0.0556, 0.0524, 0.05, 0.0432, 0.0668, 0.0524, 0.0572, 0.0488, 0.0612, 0.0608, 0.0548, 0.058, 0.0544, 0.0536, 0.0552, 0.0672, 0.0676, 0.0676, 0.0724, 0.0792, 0.0768, 0.054, 0.072, 0.052, 0.0572, 0.0668, 0.0512, 0.058, 0.0632, 0.054, 0.056, 0.0588, 0.0724, 0.0672, 0.0504, 0.056, 0.0388, 0.0636, 0.054, 0.0448, 0.0544, 0.0552, 0.0456, 0.0456, 0.0404, 0.0468, 0.042, 0.0496, 0.0396, 0.0388, 0.0456, 0.0364, 0.0456, 0.052, 0.052, 0.0528, 0.0668, 0.058, 0.05, 0.0424, 0.0476, 0.0488, 0.0368, 0.0392, 0.0508, 0.0588, 0.058, 0.05, 0.0452, 0.0548, 0.0504, 0.0488, 0.0524, 0.0608, 0.0644, 0.0632, 0.0532, 0.0504, 0.0448, 0.0444, 0.0436, 0.0256, 0.0356, 0.0396, 0.046, 0.0568, 0.0448, 0.0668, 0.0612, 0.064, 0.048, 0.0596, 0.0556, 0.0544, 0.0544, 0.0568, 0.0432, 0.0552, 0.0312, 0.0352, 0.0432, 0.0488, 0.0508, 0.0568, 0.0484, 0.0468, 0.0348, 0.0428, 0.0352, 0.046, 0.066, 0.052, 0.0612, 0.0408, 0.0512, 0.0668, 0.0544, 0.056, 0.0496, 0.0448, 0.0412, 0.04, 0.0456, 0.0412, 0.0544, 0.0428, 0.0536, 0.0496, 0.0532, 0.0436, 0.0388, 0.044, 0.0368, 0.048, 0.0732, 0.0728, 0.066, 0.0636, 0.0628, 0.0564, 0.074, 0.0628, 0.0668, 0.05, 0.0636, 0.0652, 0.054, 0.056, 0.0696, 0.058, 0.058, 0.0612, 0.06, 0.0568, 0.0556, 0.0536, 0.0648, 0.0656, 0.068, 0.0584, 0.0708, 0.0652, 0.0584, 0.0576, 0.0504, 0.0716, 0.0592, 0.0568, 0.0572, 0.0604, 0.0576, 0.066, 0.0556, 0.068, 0.0604, 0.0652, 0.0592, 0.0568, 0.0548, 0.0508, 0.048, 0.066, 0.0536, 0.0608, 0.0532, 0.0668, 0.06, 0.0488, 0.0512, 0.0716, 0.0688, 0.064, 0.0704, 0.0716, 0.0684, 0.0744, 0.082, 0.1, 0.0952, 0.0764, 0.0824, 0.0872, 0.0816, 0.09, 0.0888, 0.0892, 0.0716, 0.0696, 0.0704, 0.076, 0.082, 0.0936, 0.0972, 0.0752, 0.0876, 0.0824, 0.0816, 0.0832, 0.0864, 0.0828, 0.0872, 0.0748, 0.0732, 0.0664, 0.0852, 0.0852, 0.0732, 0.0812, 0.08, 0.0692, 0.068, 0.0744, 0.0732, 0.0836, 0.0652, 0.0716, 0.0612, 0.0756, 0.0736, 0.0804, 0.0668, 0.076, 0.0884, 0.0676, 0.0672, 0.0652, 0.0764, 0.0828, 0.078, 0.0664, 0.0676, 0.0664, 0.0752, 0.06, 0.0676, 0.0864, 0.0884, 0.0772, 0.0744, 0.072, 0.0708, 0.066, 0.0656, 0.0664, 0.072, 0.0684, 0.0728, 0.0768, 0.0784, 0.0744, 0.0808, 0.0872, 0.0876, 0.082, 0.0828, 0.072, 0.0856, 0.0692, 0.0796, 0.0692, 0.0784, 0.072, 0.0928, 0.07, 0.058, 0.0764, 0.08, 0.0732, 0.0704, 0.0812, 0.0792, 0.0752, 0.0792, 0.0892, 0.0872, 0.0976, 0.0932, 0.0924, 0.0948, 0.1048, 0.102, 0.0892, 0.0832, 0.086, 0.0716, 0.088, 0.0804, 0.084, 0.0964, 0.088, 0.0956, 0.0848, 0.0916, 0.098, 0.084, 0.0736, 0.0872, 0.08, 0.0708, 0.0816, 0.0744, 0.076, 0.0832, 0.0744, 0.08, 0.074, 0.0864, 0.0808, 0.0908, 0.086, 0.0792, 0.0756, 0.062, 0.0884, 0.0884, 0.0968, 0.0856, 0.0832, 0.0696, 0.082, 0.0912, 0.0896, 0.078, 0.09, 0.094, 0.0936, 0.0764, 0.084, 0.076, 0.0688, 0.0616, 0.0636, 0.06, 0.0648, 0.0576, 0.0748, 0.0744, 0.0792, 0.0744, 0.09, 0.0836, 0.0704, 0.088, 0.0956, 0.0988, 0.0936, 0.0792, 0.0756, 0.0728, 0.0772, 0.074, 0.0792, 0.066, 0.07, 0.0688, 0.08, 0.0776, 0.0864, 0.0712, 0.0816, 0.0788, 0.0748, 0.0732, 0.0736, 0.0728, 0.0772, 0.0792, 0.082, 0.0816, 0.072, 0.0604, 0.0528, 0.0528, 0.0616, 0.0628, 0.0684, 0.0664, 0.0652, 0.0688, 0.0764, 0.0684, 0.074, 0.0772, 0.0772, 0.0792, 0.0744, 0.0688, 0.0792, 0.0844, 0.0844, 0.0876, 0.1028, 0.0792, 0.074, 0.0828, 0.0796, 0.084, 0.0868, 0.0812, 0.078, 0.0824, 0.0904, 0.0844, 0.0936, 0.0868, 0.09, 0.0764, 0.0672, 0.0828, 0.0872, 0.076, 0.094, 0.086, 0.0944, 0.1, 0.078, 0.078, 0.0892, 0.0768, 0.0944, 0.0864, 0.0924, 0.0924, 0.1084, 0.1052, 0.0928, 0.092, 0.0932, 0.084, 0.0832, 0.0836, 0.0836, 0.0748, 0.084, 0.0672, 0.074, 0.0848, 0.0856, 0.0836, 0.0876, 0.0928, 0.0956, 0.096, 0.1048, 0.0928, 0.0936, 0.0892, 0.086, 0.0784, 0.0912, 0.0836, 0.0788, 0.0748, 0.0768, 0.0912, 0.0812, 0.0796, 0.0808, 0.0888, 0.0868, 0.0772, 0.0852, 0.0892, 0.0964, 0.0912, 0.0876, 0.0936, 0.0956, 0.09, 0.0952, 0.096, 0.09, 0.0996, 0.0956, 0.0844, 0.082, 0.0812, 0.092, 0.0968, 0.082, 0.0916, 0.096, 0.0916, 0.0972, 0.092, 0.1068, 0.0876, 0.094, 0.0996, 0.0996, 0.0932, 0.1052, 0.088, 0.0988, 0.1116, 0.0956, 0.11, 0.1032, 0.1112, 0.1128, 0.1044, 0.0904, 0.0844, 0.0956, 0.0852, 0.086, 0.0944, 0.1008, 0.1072, 0.112, 0.124, 0.114, 0.118, 0.0984, 0.1096, 0.112, 0.116, 0.106, 0.1092, 0.0988, 0.1024, 0.1184, 0.1164, 0.108, 0.0992, 0.1044, 0.0932, 0.0936, 0.106, 0.102, 0.1004, 0.0932, 0.1056, 0.1076, 0.1088, 0.0992, 0.1076, 0.096, 0.11, 0.1056, 0.11, 0.1084, 0.1116, 0.112, 0.1124, 0.1152, 0.118, 0.1024, 0.1076, 0.1208, 0.1192, 0.1132, 0.134, 0.106, 0.126, 0.128, 0.12, 0.122, 0.1228, 0.1388, 0.1284, 0.1244, 0.1204, 0.1052, 0.1172, 0.1132, 0.1088, 0.1208, 0.1196, 0.1232, 0.1212, 0.1244, 0.1336, 0.118, 0.1196, 0.1172, 0.1148, 0.1264, 0.1276, 0.138, 0.14, 0.1396, 0.1352, 0.1536, 0.1252, 0.1212, 0.1112, 0.116, 0.116, 0.126, 0.1212, 0.1204, 0.1228, 0.1272, 0.1136, 0.1192, 0.1324, 0.1268, 0.1224, 0.1224, 0.1156, 0.1256, 0.1248, 0.1284, 0.112, 0.1276, 0.1216, 0.1292, 0.1292, 0.1276, 0.122, 0.116, 0.1256, 0.1328, 0.1268, 0.1296, 0.1292, 0.112, 0.1104, 0.1192, 0.1168, 0.1132, 0.124, 0.1272, 0.1176, 0.1184, 0.1224, 0.128, 0.1276, 0.1284, 0.136, 0.1404, 0.14, 0.1408, 0.1364, 0.13, 0.1284, 0.1228, 0.122, 0.1348, 0.134, 0.138, 0.1216, 0.1224, 0.1296, 0.1168, 0.1216, 0.118, 0.1192, 0.1232, 0.1316, 0.1236, 0.1368, 0.1332, 0.1524, 0.1476, 0.1396, 0.1508, 0.1364, 0.1444, 0.1512, 0.1476, 0.1528, 0.1624, 0.1428, 0.1616, 0.1584, 0.1472, 0.1448, 0.1744, 0.1708, 0.1556, 0.1408, 0.158, 0.1456, 0.1576, 0.1644, 0.1568, 0.1532, 0.1532, 0.1484, 0.1452, 0.1584, 0.1584, 0.1608, 0.1608, 0.1604, 0.1776, 0.1768, 0.1816, 0.1784, 0.1736, 0.1728, 0.1728, 0.1672, 0.1492, 0.164, 0.1544, 0.1648, 0.1628, 0.1616, 0.1704, 0.1688, 0.174, 0.1648, 0.1684, 0.162, 0.1684, 0.1768, 0.1756, 0.1696, 0.1744, 0.1672, 0.1792, 0.1732, 0.1688, 0.172, 0.1944, 0.182, 0.21, 0.1932, 0.2016, 0.204, 0.2012, 0.2088, 0.1968, 0.1976, 0.204, 0.212, 0.2112, 0.2164, 0.212, 0.206, 0.2104, 0.208, 0.2008, 0.2004, 0.1944, 0.2, 0.1984, 0.2012, 0.2044, 0.2032, 0.2036, 0.1956, 0.184, 0.1924, 0.1868, 0.1868, 0.1828, 0.19, 0.1856, 0.1852, 0.188, 0.198, 0.1864, 0.2112, 0.2052, 0.2004, 0.2108, 0.2092, 0.2048, 0.2212, 0.2036, 0.218, 0.2208, 0.212, 0.2084, 0.21, 0.2196, 0.2212, 0.2192, 0.2188, 0.2244, 0.222, 0.2288, 0.2336, 0.2384, 0.2396, 0.244, 0.2368, 0.2544, 0.2428, 0.2476, 0.2552, 0.2452, 0.2424, 0.2536, 0.2432, 0.2512, 0.2604, 0.2648, 0.2748, 0.2772, 0.2784, 0.2684, 0.2864, 0.2812, 0.2776, 0.2884, 0.2928, 0.2932, 0.2912, 0.3096, 0.3052, 0.306, 0.3016, 0.3084, 0.3164, 0.3156, 0.2968, 0.32, 0.318, 0.3344, 0.3284, 0.3308, 0.34, 0.3396, 0.3352, 0.3456, 0.34, 0.3416, 0.3404, 0.336, 0.3488, 0.3604, 0.3496, 0.3564, 0.3632, 0.362, 0.3764, 0.394, 0.3876, 0.384, 0.3844, 0.3904, 0.416, 0.42, 0.4212, 0.4188, 0.4296, 0.4436, 0.4484, 0.4552, 0.4588, 0.4552, 0.492, 0.4996, 0.5044, 0.532, 0.5196, 0.5372, 0.5432, 0.5856, 0.6152, 0.634, 0.7028, 0.7688
