Steps,1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 48000, 49000, 50000, 51000, 52000, 53000, 54000, 55000, 56000, 57000, 58000, 59000, 60000, 61000, 62000, 63000, 64000, 65000, 66000, 67000, 68000, 69000, 70000, 71000, 72000, 73000, 74000, 75000, 76000, 77000, 78000, 79000, 80000, 81000, 82000, 83000, 84000, 85000, 86000, 87000, 88000, 89000, 90000, 91000, 92000, 93000, 94000, 95000, 96000, 97000, 98000, 99000, 100000, 101000, 102000, 103000, 104000, 105000, 106000, 107000, 108000, 109000, 110000, 111000, 112000, 113000, 114000, 115000, 116000, 117000, 118000, 119000, 120000, 121000, 122000, 123000, 124000, 125000, 126000, 127000, 128000, 129000, 130000, 131000, 132000, 133000, 134000, 135000, 136000, 137000, 138000, 139000, 140000, 141000, 142000, 143000, 144000, 145000, 146000, 147000, 148000, 149000, 150000, 151000, 152000, 153000, 154000, 155000, 156000, 157000, 158000, 159000, 160000, 161000, 162000, 163000, 164000, 165000, 166000, 167000, 168000, 169000, 170000, 171000, 172000, 173000, 174000, 175000, 176000, 177000, 178000, 179000, 180000, 181000, 182000, 183000, 184000, 185000, 186000, 187000, 188000, 189000, 190000, 191000, 192000, 193000, 194000, 195000, 196000, 197000, 198000, 199000, 200000
Times,0.162546, 0.328993, 0.493685, 0.654062, 0.811878, 0.981482, 1.14934, 1.3127, 1.47706, 1.63428, 1.79813, 1.95963, 2.12612, 2.29442, 2.46108, 2.62479, 2.78863, 2.95706, 3.1245, 3.28568, 3.45745, 3.62144, 3.78438, 3.9388, 4.0987, 4.2654, 4.41785, 4.5808, 4.741, 4.89996, 5.063, 5.23224, 5.39558, 5.55361, 5.70968, 5.87158, 6.04137, 6.20108, 6.36542, 6.54005, 6.70111, 6.85465, 7.01965, 7.18684, 7.35208, 7.52463, 7.69205, 7.85238, 8.01199, 8.17571, 8.33665, 8.49938, 8.66385, 8.82999, 8.99078, 9.14487, 9.3015, 9.46225, 9.62254, 9.78266, 9.9469, 10.103, 10.2695, 10.4282, 10.5894, 10.7438, 10.9063, 11.0658, 11.2313, 11.3927, 11.5545, 11.7116, 11.8599, 12.0137, 12.1711, 12.3311, 12.4867, 12.6515, 12.8188, 12.992, 13.1508, 13.3125, 13.4789, 13.6423, 13.8051, 13.9629, 14.121, 14.2794, 14.4403, 14.6037, 14.7667, 14.9278, 15.0909, 15.2523, 15.42, 15.5764, 15.7392, 15.904, 16.0607, 16.2178, 16.3822, 16.5486, 16.7016, 16.8701, 17.0431, 17.2062, 17.3715, 17.5388, 17.7045, 17.8685, 18.0365, 18.2043, 18.3678, 18.5335, 18.6961, 18.8519, 19.0146, 19.173, 19.3258, 19.4853, 19.6449, 19.8149, 19.976, 20.1428, 20.3118, 20.4691, 20.6346, 20.7853, 20.9528, 21.1187, 21.2817, 21.4387, 21.5963, 21.766, 21.928, 22.0898, 22.2567, 22.4136, 22.58, 22.7529, 22.9213, 23.0869, 23.2526, 23.4143, 23.5753, 23.7376, 23.8885, 24.0475, 24.198, 24.3598, 24.5231, 24.6785, 24.8377, 24.9998, 25.1661, 25.3277, 25.4811, 25.6321, 25.7884, 25.9498, 26.1102, 26.2788, 26.4408, 26.6076, 26.7738, 26.9367, 27.0955, 27.2517, 27.419, 27.5855, 27.7422, 27.9035, 28.069, 28.2411, 28.4037, 28.5583, 28.7213, 28.8761, 29.0446, 29.2017, 29.3674, 29.5279, 29.6833, 29.8455, 30.0114, 30.171, 30.3315, 30.491, 30.6549, 30.8133, 30.9771, 31.1418, 31.3102, 31.4693, 31.6326, 31.7941, 31.9444, 32.0999, 32.2569, 32.4197
<Sz>,0.0390625, 0.046875, 0, 0.015625, 0.046875, 0.03125, 0.0234375, 0, 0.0234375, 0.03125, 0.015625, 0.015625, 0.0390625, 0.03125, 0.015625, 0.0078125, 0.0078125, 0.0390625, 0.0390625, 0.03125, 0.0234375, 0.0390625, 0.0234375, 0.0078125, 0.015625, 0.0078125, 0.0390625, 0.015625, 0.0234375, 0.0234375, 0.0234375, 0.0078125, 0.0390625, 0.0234375, 0.0078125, 0.0234375, 0.015625, 0.015625, 0.03125, 0.0234375, 0, 0, 0.0234375, 0.0078125, 0.0078125, 0.0078125, 0.0234375, 0.03125, 0.03125, 0.015625, 0.0234375, 0.0078125, 0.0234375, 0.0546875, 0.015625, 0.03125, 0.015625, 0.0234375, 0.03125, 0.03125, 0.0234375, 0.015625, 0.03125, 0.0078125, 0.03125, 0.0234375, 0.0234375, 0, 0.03125, 0.0078125, 0.0234375, 0.0390625, 0.0390625, 0.0390625, 0.046875, 0.015625, 0.015625, 0.046875, 0.015625, 0.015625, 0.015625, 0.0078125, 0.0234375, 0.0078125, 0.0390625, 0.015625, 0.0078125, 0.0390625, 0.0078125, 0.046875, 0.0390625, 0.046875, 0.0078125, 0.0078125, 0.0234375, 0.03125, 0.015625, 0.0546875, 0.03125, 0.0234375, 0.015625, 0.03125, 0.015625, 0.0234375, 0.0234375, 0.0078125, 0.0390625, 0.0234375, 0.0234375, 0.046875, 0.0390625, 0.03125, 0.0078125, 0.03125, 0.015625, 0.0234375, 0.03125, 0.0234375, 0, 0.046875, 0.015625, 0.0078125, 0.03125, 0.0078125, 0.015625, 0.015625, 0.015625, 0.03125, 0.0625, 0.015625, 0.015625, 0.03125, 0.03125, 0.0390625, 0.015625, 0.0078125, 0.0390625, 0.0234375, 0.0078125, 0.015625, 0.015625, 0.015625, 0.0234375, 0.015625, 0.015625, 0.0078125, 0, 0, 0, 0, 0.015625, 0.03125, 0.0078125, 0.03125, 0.0234375, 0.0390625, 0.0078125, 0.0078125, 0.0078125, 0.0234375, 0.015625, 0.0625, 0.0078125, 0.0234375, 0.0390625, 0.0546875, 0.015625, 0.0078125, 0.0625, 0.046875, 0.015625, 0.015625, 0.0390625, 0.0234375, 0.0078125, 0.015625, 0.046875, 0.03125, 0.0546875, 0.0234375, 0.0234375, 0, 0.015625, 0.0390625, 0, 0.0390625, 0.0078125, 0.015625, 0.046875, 0.0234375, 0.015625, 0.015625, 0.03125, 0.0234375, 0.0078125, 0.015625, 0.0234375, 0.015625, 0.0390625, 0.046875
<Sx>,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
