name, average, error
steps,252950,47871.4
times,8318.52,1573.52
sx,0.0176208,7.55867e-05
sz,-0.0012972,0.0173037
mag,0.944821,0.00116768
mag2,0.900153,0.00146295
mag4,0.824624,0.00173046
cluster size,899.168,3.512
corr_x,1
corr_t,1, 0.9652, 0.954, 0.9444, 0.9428, 0.94, 0.938, 0.9276, 0.9224, 0.9248, 0.9232, 0.9244, 0.9268, 0.9228, 0.9224, 0.9252, 0.9236, 0.9216, 0.9228, 0.9236, 0.9176, 0.9196, 0.9208, 0.9216, 0.9204, 0.9164, 0.9156, 0.914, 0.916, 0.9124, 0.9144, 0.9132, 0.9072, 0.9112, 0.9124, 0.918, 0.9156, 0.916, 0.9148, 0.9144, 0.9212, 0.9144, 0.91, 0.9112, 0.9164, 0.9148, 0.9136, 0.9176, 0.9148, 0.9168, 0.9152, 0.9148, 0.9104, 0.912, 0.9164, 0.9168, 0.9148, 0.914, 0.9168, 0.9156, 0.9092, 0.9124, 0.9084, 0.9112, 0.9112, 0.9076, 0.9064, 0.9104, 0.9048, 0.9064, 0.9096, 0.9108, 0.9084, 0.9132, 0.9032, 0.9084, 0.9076, 0.9032, 0.9024, 0.8992, 0.9012, 0.9056, 0.9076, 0.9052, 0.9048, 0.902, 0.9072, 0.9012, 0.9028, 0.904, 0.9084, 0.9032, 0.9004, 0.902, 0.904, 0.9048, 0.9072, 0.9092, 0.9052, 0.9048, 0.9004, 0.9, 0.9084, 0.9072, 0.902, 0.904, 0.9036, 0.9036, 0.9008, 0.9028, 0.9072, 0.9044, 0.9052, 0.9116, 0.9064, 0.9128, 0.912, 0.9116, 0.9128, 0.906, 0.9024, 0.8956, 0.8936, 0.9008, 0.9024, 0.9008, 0.9072, 0.9048, 0.9004, 0.9052, 0.904, 0.9028, 0.8968, 0.9, 0.9024, 0.902, 0.898, 0.898, 0.9012, 0.9012, 0.8932, 0.898, 0.8996, 0.9024, 0.9, 0.8972, 0.9036, 0.9016, 0.9016, 0.9004, 0.9008, 0.8988, 0.8976, 0.9028, 0.9016, 0.9016, 0.9016, 0.8976, 0.898, 0.896, 0.89, 0.8956, 0.8956, 0.8992, 0.8976, 0.8932, 0.8972, 0.896, 0.8944, 0.8976, 0.8976, 0.8956, 0.9032, 0.8996, 0.9, 0.8964, 0.8904, 0.8936, 0.8896, 0.8888, 0.8872, 0.8884, 0.8912, 0.89, 0.8868, 0.8884, 0.8896, 0.892, 0.8972, 0.8936, 0.8928, 0.896, 0.8964, 0.8968, 0.898, 0.8944, 0.894, 0.8928, 0.8912, 0.8948, 0.8924, 0.8956, 0.8948, 0.896, 0.9016, 0.8992, 0.9012, 0.8976, 0.8992, 0.8992, 0.9032, 0.9012, 0.8952, 0.8996, 0.9052, 0.896, 0.8948, 0.8916, 0.8936, 0.8952, 0.8952, 0.8964, 0.8996, 0.8976, 0.9032, 0.8928, 0.8976, 0.8936, 0.892, 0.8932, 0.9004, 0.898, 0.9, 0.9036, 0.8996, 0.9, 0.8968, 0.8992, 0.904, 0.8972, 0.8932, 0.9004, 0.8936, 0.8992, 0.896, 0.896, 0.8956, 0.9012, 0.8988, 0.8944, 0.8964, 0.8924, 0.898, 0.8984, 0.8952, 0.8996, 0.8988, 0.8908, 0.8992, 0.8928, 0.89, 0.8936, 0.8952, 0.8964, 0.8932, 0.8904, 0.8928, 0.9, 0.8984, 0.8996, 0.9004, 0.8996, 0.9032, 0.8948, 0.8968, 0.8992, 0.8992, 0.8956, 0.8944, 0.8948, 0.8952, 0.8936, 0.89, 0.8884, 0.892, 0.886, 0.8856, 0.8908, 0.8892, 0.886, 0.8932, 0.888, 0.8908, 0.8924, 0.8912, 0.8936, 0.8868, 0.8884, 0.8868, 0.892, 0.8872, 0.8892, 0.8912, 0.8956, 0.8952, 0.8896, 0.8884, 0.89, 0.8868, 0.8872, 0.8856, 0.8884, 0.8912, 0.8936, 0.886, 0.8948, 0.894, 0.8924, 0.8912, 0.8892, 0.8956, 0.894, 0.8956, 0.89, 0.8984, 0.8976, 0.8924, 0.8964, 0.8976, 0.9028, 0.8988, 0.898, 0.8904, 0.892, 0.8944, 0.894, 0.8984, 0.9028, 0.8972, 0.8968, 0.8916, 0.894, 0.8852, 0.8928, 0.8932, 0.8872, 0.8876, 0.8868, 0.8928, 0.8872, 0.8896, 0.8952, 0.8864, 0.8932, 0.8936, 0.8912, 0.8968, 0.8972, 0.8976, 0.8988, 0.8976, 0.9, 0.898, 0.9032, 0.9004, 0.9016, 0.8992, 0.8992, 0.8956, 0.894, 0.8936, 0.8944, 0.8912, 0.8928, 0.892, 0.8896, 0.8876, 0.8896, 0.8928, 0.8932, 0.8968, 0.894, 0.8992, 0.8912, 0.894, 0.8956, 0.8968, 0.8956, 0.8948, 0.8952, 0.8912, 0.8948, 0.89, 0.888, 0.8884, 0.8888, 0.8872, 0.8944, 0.8952, 0.8888, 0.892, 0.8872, 0.8884, 0.8912, 0.8872, 0.8932, 0.8896, 0.8912, 0.894, 0.8952, 0.8904, 0.8892, 0.8908, 0.8836, 0.886, 0.8864, 0.8804, 0.8912, 0.8904, 0.8908, 0.8904, 0.894, 0.8976, 0.8992, 0.8984, 0.896, 0.8944, 0.8936, 0.8968, 0.8932, 0.8996, 0.8924, 0.896, 0.894, 0.8996, 0.8992, 0.898, 0.8948, 0.8976, 0.894, 0.89, 0.8948, 0.896, 0.8964, 0.8944, 0.8936, 0.8948, 0.8944, 0.8924, 0.892, 0.8948, 0.8892, 0.8864, 0.8836, 0.884, 0.888, 0.8804, 0.8836, 0.8904, 0.8912, 0.8868, 0.8892, 0.8904, 0.8892, 0.89, 0.8908, 0.89, 0.8904, 0.8924, 0.8904, 0.8904, 0.886, 0.8892, 0.8872, 0.8912, 0.8908, 0.894, 0.8868, 0.8956, 0.8948, 0.892, 0.8968, 0.8984, 0.8932, 0.888, 0.8884, 0.8912, 0.8952, 0.8912, 0.8956, 0.8928, 0.8956, 0.8932, 0.8876, 0.8848, 0.8944, 0.89, 0.8896, 0.8904, 0.8884, 0.8864, 0.8836, 0.8884, 0.8876, 0.8876, 0.8904, 0.8856, 0.8868, 0.8908, 0.888, 0.89, 0.884, 0.89, 0.882, 0.8924, 0.8924, 0.8904, 0.8892, 0.8852, 0.8932, 0.896, 0.8904, 0.8888, 0.8912, 0.8932, 0.8928, 0.892, 0.89, 0.886, 0.8848, 0.8872, 0.8892, 0.8892, 0.8936, 0.8936, 0.8964, 0.8928, 0.8904, 0.8904, 0.8892, 0.8924, 0.8924, 0.8896, 0.8896, 0.8864, 0.8988, 0.8892, 0.8896, 0.888, 0.894, 0.8916, 0.888, 0.8904, 0.8952, 0.892, 0.8936, 0.8872, 0.8844, 0.8868, 0.89, 0.8892, 0.89, 0.8832, 0.8868, 0.8928, 0.8916, 0.89, 0.8972, 0.892, 0.8876, 0.8844, 0.8912, 0.8912, 0.8888, 0.8876, 0.8904, 0.892, 0.8912, 0.8932, 0.8872, 0.8852, 0.8912, 0.8912, 0.8916, 0.892, 0.8892, 0.8916, 0.8892, 0.8884, 0.8928, 0.8896, 0.8896, 0.8952, 0.894, 0.8888, 0.8944, 0.8988, 0.892, 0.892, 0.892, 0.8944, 0.8872, 0.8876, 0.8824, 0.8888, 0.8928, 0.8872, 0.8896, 0.8948, 0.8948, 0.8956, 0.8992, 0.8936, 0.8968, 0.9004, 0.9004, 0.896, 0.8944, 0.8932, 0.8892, 0.8944, 0.8928, 0.894, 0.8992, 0.8956, 0.8972, 0.8952, 0.8924, 0.8936, 0.894, 0.8936, 0.8944, 0.8884, 0.894, 0.8932, 0.8972, 0.8984, 0.8896, 0.8884, 0.8912, 0.8876, 0.89, 0.8904, 0.8912, 0.8912, 0.8924, 0.8924, 0.8892, 0.894, 0.8904, 0.8924, 0.8952, 0.898, 0.8976, 0.8964, 0.9028, 0.9024, 0.8984, 0.8944, 0.8964, 0.8984, 0.8992, 0.898, 0.9, 0.8928, 0.8996, 0.8988, 0.892, 0.8916, 0.8916, 0.8876, 0.8912, 0.8888, 0.8956, 0.8972, 0.8992, 0.8952, 0.8964, 0.8972, 0.894, 0.8968, 0.8936, 0.8968, 0.896, 0.8964, 0.8936, 0.8952, 0.8904, 0.886, 0.8856, 0.8916, 0.8908, 0.8916, 0.8904, 0.8912, 0.8912, 0.89, 0.8952, 0.8948, 0.8968, 0.8968, 0.8948, 0.888, 0.8976, 0.896, 0.8964, 0.8996, 0.8968, 0.8972, 0.8904, 0.8956, 0.8936, 0.8948, 0.8944, 0.8968, 0.9008, 0.8964, 0.8988, 0.9008, 0.8928, 0.892, 0.8952, 0.8976, 0.8936, 0.8996, 0.8992, 0.896, 0.8972, 0.8988, 0.8972, 0.8956, 0.8992, 0.898, 0.9004, 0.896, 0.8972, 0.8936, 0.8968, 0.8992, 0.8964, 0.8956, 0.8988, 0.8956, 0.8924, 0.8952, 0.8924, 0.8924, 0.8928, 0.8968, 0.8936, 0.8944, 0.8904, 0.8896, 0.8928, 0.8992, 0.8996, 0.8956, 0.894, 0.8948, 0.8916, 0.8888, 0.8864, 0.8892, 0.888, 0.8916, 0.8944, 0.8944, 0.8936, 0.886, 0.8928, 0.8928, 0.8988, 0.896, 0.8952, 0.8976, 0.8968, 0.8952, 0.894, 0.8964, 0.8916, 0.8968, 0.8964, 0.894, 0.8924, 0.8952, 0.892, 0.8928, 0.8936, 0.8932, 0.8968, 0.8948, 0.8932, 0.8976, 0.8976, 0.8916, 0.8892, 0.8928, 0.8984, 0.8944, 0.8956, 0.8988, 0.8964, 0.8948, 0.8868, 0.8864, 0.8916, 0.8952, 0.8932, 0.8952, 0.8892, 0.8996, 0.8976, 0.8976, 0.8924, 0.8948, 0.886, 0.8892, 0.8956, 0.8944, 0.9012, 0.9044, 0.9032, 0.9, 0.8964, 0.8976, 0.8992, 0.9032, 0.9072, 0.9016, 0.8936, 0.89, 0.8944, 0.8968, 0.8988, 0.8992, 0.8992, 0.9, 0.8976, 0.9036, 0.8964, 0.898, 0.8964, 0.8956, 0.8992, 0.8984, 0.8996, 0.8996, 0.8944, 0.898, 0.8984, 0.8996, 0.9044, 0.8996, 0.9036, 0.9036, 0.9028, 0.9068, 0.9032, 0.9092, 0.9048, 0.8988, 0.9004, 0.9008, 0.9028, 0.9, 0.9044, 0.9084, 0.9008, 0.9012, 0.9024, 0.9016, 0.9072, 0.9032, 0.9056, 0.9104, 0.9032, 0.9064, 0.9012, 0.9056, 0.9044, 0.9028, 0.9036, 0.8944, 0.9004, 0.8992, 0.9016, 0.9008, 0.9016, 0.9036, 0.902, 0.9016, 0.902, 0.902, 0.9024, 0.8992, 0.9, 0.902, 0.9, 0.898, 0.9056, 0.9036, 0.9004, 0.9, 0.9004, 0.9024, 0.9088, 0.9, 0.9012, 0.9012, 0.9052, 0.9052, 0.9044, 0.9116, 0.904, 0.9076, 0.908, 0.9052, 0.908, 0.9084, 0.9056, 0.9092, 0.9052, 0.9012, 0.904, 0.9076, 0.9096, 0.9044, 0.9008, 0.9036, 0.9044, 0.9068, 0.8996, 0.9064, 0.9108, 0.9112, 0.9052, 0.9068, 0.912, 0.9096, 0.9108, 0.9092, 0.9128, 0.91, 0.9148, 0.9124, 0.9112, 0.918, 0.9132, 0.9096, 0.9092, 0.914, 0.914, 0.9168, 0.918, 0.9168, 0.9176, 0.9128, 0.9124, 0.9184, 0.9172, 0.9216, 0.9244, 0.9244, 0.9232, 0.9228, 0.9212, 0.9228, 0.9224, 0.928, 0.9224, 0.9248, 0.924, 0.928, 0.9272, 0.9228, 0.9232, 0.9264, 0.9232, 0.9224, 0.9248, 0.92, 0.9288, 0.9208, 0.9252, 0.9248, 0.9272, 0.9232, 0.9268, 0.9272, 0.9312, 0.932, 0.934, 0.9332, 0.9336, 0.9376, 0.9328, 0.9404, 0.946, 0.9528, 0.9644
