name, average, error
steps,52950,9574.27
times,428.968,77.4581
sx,0.001536,9.56289e-05
sz,0.069752,0.0533802
mag,0.988496,0.00179136
mag2,0.981,0.00246419
mag4,0.969484,0.00317775
cluster size,490.533,1.54938
corr_x,1
corr_t,1, 0.998, 0.994, 0.99, 0.99, 0.992, 0.992, 0.99, 0.988, 0.98, 0.984, 0.988, 0.986, 0.988, 0.984, 0.986, 0.986, 0.982, 0.98, 0.982, 0.984, 0.984, 0.984, 0.978, 0.98, 0.98, 0.986, 0.984, 0.988, 0.986, 0.986, 0.986, 0.984, 0.986, 0.986, 0.988, 0.988, 0.986, 0.986, 0.986, 0.986, 0.986, 0.984, 0.986, 0.986, 0.984, 0.982, 0.982, 0.984, 0.986, 0.986, 0.984, 0.982, 0.984, 0.98, 0.982, 0.98, 0.982, 0.982, 0.982, 0.98, 0.984, 0.984, 0.978, 0.984, 0.984, 0.984, 0.982, 0.982, 0.982, 0.976, 0.976, 0.972, 0.974, 0.974, 0.972, 0.974, 0.978, 0.976, 0.976, 0.976, 0.978, 0.98, 0.98, 0.98, 0.982, 0.982, 0.984, 0.984, 0.984, 0.982, 0.982, 0.984, 0.984, 0.982, 0.982, 0.982, 0.984, 0.982, 0.978, 0.986, 0.982, 0.984, 0.984, 0.986, 0.986, 0.984, 0.984, 0.986, 0.984, 0.982, 0.98, 0.984, 0.986, 0.984, 0.984, 0.984, 0.98, 0.984, 0.984, 0.982, 0.978, 0.984, 0.984, 0.982, 0.98, 0.984, 0.984, 0.98, 0.982, 0.984, 0.982, 0.98, 0.982, 0.98, 0.984, 0.984, 0.98, 0.982, 0.982, 0.984, 0.982, 0.982, 0.976, 0.978, 0.978, 0.98, 0.982, 0.982, 0.98, 0.978, 0.98, 0.98, 0.982, 0.982, 0.982, 0.98, 0.984, 0.982, 0.982, 0.98, 0.982, 0.982, 0.978, 0.976, 0.976, 0.976, 0.978, 0.978, 0.978, 0.974, 0.968, 0.962, 0.968, 0.97, 0.968, 0.966, 0.968, 0.968, 0.972, 0.97, 0.974, 0.972, 0.97, 0.968, 0.97, 0.97, 0.966, 0.964, 0.968, 0.966, 0.966, 0.968, 0.966, 0.966, 0.968, 0.972, 0.97, 0.972, 0.972, 0.974, 0.97, 0.968, 0.97, 0.966, 0.972, 0.97, 0.97, 0.97, 0.966, 0.968, 0.968, 0.972, 0.972, 0.972, 0.974, 0.972, 0.974, 0.974, 0.974, 0.968, 0.966, 0.964, 0.968, 0.964, 0.97, 0.972, 0.97, 0.968, 0.972, 0.974, 0.974, 0.97, 0.97, 0.968, 0.97, 0.974, 0.972, 0.972, 0.972, 0.974, 0.972, 0.974, 0.974, 0.974, 0.974, 0.976, 0.976, 0.974, 0.972, 0.974, 0.974, 0.974, 0.978, 0.976, 0.976, 0.978, 0.978, 0.98, 0.98, 0.978, 0.974, 0.972, 0.978, 0.974, 0.976, 0.978, 0.976, 0.978, 0.978, 0.976, 0.978, 0.972, 0.974, 0.976, 0.974, 0.974, 0.978, 0.976, 0.974, 0.976, 0.978, 0.978, 0.978, 0.972, 0.974, 0.978, 0.978, 0.976, 0.976, 0.972, 0.97, 0.968, 0.97, 0.972, 0.974, 0.97, 0.974, 0.976, 0.974, 0.972, 0.974, 0.974, 0.972, 0.974, 0.974, 0.978, 0.978, 0.974, 0.976, 0.976, 0.978, 0.978, 0.976, 0.976, 0.978, 0.976, 0.976, 0.974, 0.972, 0.976, 0.978, 0.976, 0.972, 0.974, 0.974, 0.972, 0.97, 0.97, 0.972, 0.968, 0.97, 0.972, 0.976, 0.976, 0.978, 0.98, 0.98, 0.98, 0.98, 0.98, 0.976, 0.978, 0.978, 0.976, 0.978, 0.978, 0.974, 0.976, 0.972, 0.978, 0.98, 0.98, 0.98, 0.978, 0.98, 0.978, 0.976, 0.976, 0.976, 0.978, 0.978, 0.976, 0.98, 0.978, 0.98, 0.976, 0.978, 0.98, 0.978, 0.978, 0.98, 0.98, 0.98, 0.978, 0.982, 0.978, 0.984, 0.982, 0.978, 0.978, 0.98, 0.98, 0.98, 0.982, 0.976, 0.978, 0.976, 0.98, 0.98, 0.98, 0.982, 0.976, 0.984, 0.986, 0.984, 0.986, 0.986, 0.98, 0.982, 0.98, 0.98, 0.984, 0.986, 0.986, 0.986, 0.984, 0.982, 0.98, 0.984, 0.984, 0.984, 0.98, 0.982, 0.984, 0.986, 0.986, 0.986, 0.984, 0.984, 0.982, 0.98, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.984, 0.982, 0.98, 0.98, 0.982, 0.986, 0.982, 0.984, 0.984, 0.986, 0.984, 0.984, 0.984, 0.984, 0.986, 0.986, 0.98, 0.98, 0.984, 0.982, 0.982, 0.982, 0.98, 0.978, 0.982, 0.986, 0.986, 0.986, 0.98, 0.986, 0.986, 0.986, 0.988, 0.986, 0.986, 0.986, 0.986, 0.984, 0.988, 0.988, 0.99, 0.99, 0.99, 0.99, 0.988, 0.988, 0.988, 0.99, 0.99, 0.988, 0.986, 0.986, 0.99, 0.99, 0.988, 0.986, 0.988, 0.988, 0.986, 0.98, 0.982, 0.984, 0.99, 0.99, 0.99, 0.994, 0.994, 0.99, 0.994, 0.994, 0.998, 0.998
