name, average, error
steps,1.0095e+06,191485
times,1036.63,196.436
sx,0.033168,0.000164464
sz,0.01073,0.015521
mag,0.934414,0.00119921
mag2,0.87734,0.00179164
mag4,0.777984,0.00251613
cluster size,1,0
corr_x,1
corr_t,1, 0.919, 0.889, 0.883, 0.893, 0.892, 0.877, 0.883, 0.87, 0.876, 0.872, 0.86, 0.883, 0.875, 0.875, 0.865, 0.875, 0.87, 0.869, 0.876, 0.866, 0.857, 0.873, 0.852, 0.871, 0.854, 0.852, 0.86, 0.862, 0.853, 0.845, 0.865, 0.841, 0.857, 0.856, 0.852, 0.854, 0.855, 0.854, 0.861, 0.862, 0.858, 0.861, 0.86, 0.867, 0.868, 0.863, 0.863, 0.862, 0.859, 0.868, 0.867, 0.87, 0.87, 0.878, 0.872, 0.858, 0.861, 0.877, 0.857, 0.85, 0.862, 0.858, 0.862, 0.849, 0.854, 0.851, 0.843, 0.864, 0.864, 0.858, 0.859, 0.867, 0.866, 0.86, 0.86, 0.852, 0.849, 0.867, 0.867, 0.861, 0.851, 0.867, 0.864, 0.862, 0.855, 0.865, 0.866, 0.874, 0.862, 0.854, 0.86, 0.857, 0.862, 0.858, 0.855, 0.855, 0.852, 0.866, 0.862, 0.857, 0.854, 0.867, 0.858, 0.857, 0.86, 0.854, 0.857, 0.856, 0.852, 0.861, 0.85, 0.853, 0.871, 0.865, 0.871, 0.862, 0.86, 0.86, 0.855, 0.864, 0.863, 0.867, 0.862, 0.856, 0.859, 0.852, 0.859, 0.859, 0.86, 0.858, 0.857, 0.853, 0.847, 0.862, 0.858, 0.858, 0.855, 0.855, 0.857, 0.854, 0.856, 0.852, 0.845, 0.849, 0.853, 0.853, 0.852, 0.857, 0.87, 0.851, 0.852, 0.853, 0.842, 0.842, 0.837, 0.839, 0.852, 0.845, 0.847, 0.86, 0.854, 0.852, 0.849, 0.844, 0.853, 0.849, 0.844, 0.836, 0.832, 0.854, 0.837, 0.851, 0.859, 0.864, 0.853, 0.858, 0.858, 0.861, 0.862, 0.852, 0.849, 0.86, 0.859, 0.841, 0.846, 0.856, 0.847, 0.862, 0.863, 0.855, 0.852, 0.859, 0.854, 0.851, 0.841, 0.852, 0.851, 0.857, 0.858, 0.861, 0.867, 0.858, 0.858, 0.854, 0.851, 0.855, 0.858, 0.859, 0.862, 0.853, 0.858, 0.854, 0.861, 0.858, 0.842, 0.849, 0.854, 0.864, 0.87, 0.861, 0.85, 0.851, 0.838, 0.846, 0.856, 0.857, 0.859, 0.856, 0.863, 0.841, 0.857, 0.848, 0.854, 0.852, 0.853, 0.853, 0.85, 0.85, 0.849, 0.858, 0.85, 0.853, 0.859, 0.848, 0.855, 0.855, 0.858, 0.856, 0.847, 0.867, 0.854, 0.85, 0.861, 0.845, 0.854, 0.842, 0.852, 0.843, 0.85, 0.844, 0.85, 0.854, 0.854, 0.844, 0.847, 0.843, 0.84, 0.854, 0.85, 0.845, 0.857, 0.864, 0.855, 0.85, 0.847, 0.847, 0.847, 0.849, 0.851, 0.841, 0.842, 0.834, 0.859, 0.843, 0.844, 0.828, 0.849, 0.859, 0.854, 0.858, 0.853, 0.856, 0.856, 0.853, 0.843, 0.851, 0.838, 0.837, 0.848, 0.844, 0.84, 0.841, 0.843, 0.839, 0.841, 0.853, 0.846, 0.853, 0.851, 0.86, 0.854, 0.856, 0.853, 0.852, 0.856, 0.854, 0.848, 0.846, 0.857, 0.849, 0.855, 0.849, 0.855, 0.862, 0.858, 0.856, 0.846, 0.85, 0.857, 0.851, 0.856, 0.854, 0.849, 0.857, 0.851, 0.859, 0.846, 0.836, 0.848, 0.838, 0.849, 0.851, 0.851, 0.849, 0.856, 0.857, 0.845, 0.851, 0.84, 0.858, 0.847, 0.85, 0.854, 0.842, 0.856, 0.861, 0.853, 0.856, 0.857, 0.845, 0.857, 0.839, 0.85, 0.842, 0.859, 0.859, 0.849, 0.85, 0.857, 0.861, 0.858, 0.855, 0.848, 0.852, 0.842, 0.849, 0.833, 0.846, 0.841, 0.846, 0.844, 0.845, 0.839, 0.854, 0.866, 0.857, 0.856, 0.867, 0.862, 0.858, 0.855, 0.854, 0.855, 0.858, 0.844, 0.855, 0.861, 0.848, 0.854, 0.856, 0.854, 0.853, 0.848, 0.844, 0.858, 0.861, 0.861, 0.855, 0.852, 0.858, 0.859, 0.851, 0.854, 0.857, 0.844, 0.852, 0.856, 0.842, 0.854, 0.847, 0.85, 0.856, 0.861, 0.854, 0.849, 0.853, 0.846, 0.855, 0.851, 0.865, 0.86, 0.852, 0.851, 0.853, 0.846, 0.859, 0.858, 0.854, 0.845, 0.857, 0.846, 0.85, 0.857, 0.852, 0.846, 0.853, 0.855, 0.855, 0.845, 0.842, 0.845, 0.842, 0.84, 0.844, 0.847, 0.845, 0.835, 0.834, 0.836, 0.836, 0.85, 0.847, 0.853, 0.845, 0.845, 0.855, 0.847, 0.84, 0.835, 0.845, 0.841, 0.845, 0.842, 0.835, 0.839, 0.849, 0.84, 0.826, 0.839, 0.846, 0.835, 0.84, 0.847, 0.854, 0.845, 0.86, 0.843, 0.849, 0.845, 0.853, 0.851, 0.848, 0.858, 0.848, 0.855, 0.858, 0.863, 0.865, 0.862, 0.865, 0.856, 0.857, 0.858, 0.849, 0.84, 0.854, 0.849, 0.847, 0.849, 0.86, 0.848, 0.849, 0.85, 0.837, 0.837, 0.839, 0.843, 0.845, 0.85, 0.841, 0.845, 0.846, 0.858, 0.845, 0.84, 0.844, 0.844, 0.849, 0.843, 0.847, 0.859, 0.854, 0.84, 0.835, 0.848, 0.838, 0.839, 0.836, 0.84, 0.859, 0.85, 0.846, 0.851, 0.86, 0.858, 0.854, 0.853, 0.847, 0.861, 0.849, 0.84, 0.856, 0.846, 0.847, 0.852, 0.849, 0.856, 0.861, 0.867, 0.846, 0.861, 0.86, 0.846, 0.851, 0.842, 0.857, 0.844, 0.857, 0.853, 0.845, 0.849, 0.863, 0.843, 0.861, 0.855, 0.849, 0.853, 0.846, 0.855, 0.842, 0.852, 0.854, 0.855, 0.853, 0.855, 0.839, 0.851, 0.845, 0.842, 0.862, 0.855, 0.854, 0.862, 0.843, 0.847, 0.841, 0.847, 0.841, 0.85, 0.854, 0.848, 0.853, 0.851, 0.851, 0.853, 0.85, 0.87, 0.851, 0.862, 0.862, 0.865, 0.854, 0.855, 0.841, 0.839, 0.841, 0.83, 0.84, 0.858, 0.855, 0.86, 0.857, 0.861, 0.847, 0.835, 0.835, 0.843, 0.855, 0.86, 0.868, 0.847, 0.854, 0.857, 0.858, 0.847, 0.848, 0.837, 0.847, 0.85, 0.844, 0.85, 0.85, 0.847, 0.848, 0.846, 0.859, 0.854, 0.844, 0.843, 0.853, 0.851, 0.861, 0.852, 0.86, 0.866, 0.855, 0.85, 0.849, 0.859, 0.86, 0.848, 0.849, 0.855, 0.858, 0.851, 0.855, 0.854, 0.856, 0.86, 0.866, 0.865, 0.849, 0.865, 0.866, 0.873, 0.86, 0.866, 0.87, 0.865, 0.865, 0.866, 0.852, 0.867, 0.857, 0.862, 0.859, 0.863, 0.854, 0.847, 0.855, 0.857, 0.862, 0.855, 0.852, 0.863, 0.855, 0.849, 0.845, 0.846, 0.856, 0.86, 0.852, 0.846, 0.863, 0.847, 0.855, 0.86, 0.843, 0.859, 0.859, 0.857, 0.862, 0.847, 0.858, 0.853, 0.846, 0.855, 0.854, 0.847, 0.852, 0.851, 0.843, 0.852, 0.859, 0.849, 0.857, 0.846, 0.849, 0.851, 0.839, 0.838, 0.848, 0.863, 0.864, 0.853, 0.862, 0.848, 0.856, 0.85, 0.863, 0.861, 0.858, 0.852, 0.858, 0.849, 0.842, 0.842, 0.853, 0.853, 0.855, 0.85, 0.84, 0.848, 0.858, 0.842, 0.847, 0.853, 0.856, 0.847, 0.854, 0.864, 0.859, 0.864, 0.861, 0.857, 0.851, 0.855, 0.861, 0.854, 0.862, 0.86, 0.84, 0.848, 0.845, 0.849, 0.865, 0.854, 0.854, 0.848, 0.846, 0.861, 0.856, 0.854, 0.851, 0.849, 0.856, 0.852, 0.844, 0.855, 0.843, 0.849, 0.861, 0.862, 0.868, 0.858, 0.859, 0.86, 0.845, 0.852, 0.863, 0.852, 0.855, 0.846, 0.852, 0.858, 0.853, 0.857, 0.852, 0.845, 0.836, 0.831, 0.847, 0.854, 0.85, 0.846, 0.846, 0.855, 0.856, 0.855, 0.855, 0.859, 0.864, 0.861, 0.871, 0.86, 0.857, 0.859, 0.854, 0.85, 0.851, 0.859, 0.863, 0.865, 0.872, 0.856, 0.864, 0.858, 0.865, 0.864, 0.866, 0.858, 0.851, 0.858, 0.859, 0.854, 0.852, 0.855, 0.859, 0.861, 0.859, 0.857, 0.857, 0.855, 0.844, 0.856, 0.852, 0.859, 0.857, 0.861, 0.859, 0.868, 0.86, 0.85, 0.862, 0.867, 0.858, 0.855, 0.845, 0.852, 0.853, 0.846, 0.856, 0.847, 0.852, 0.864, 0.856, 0.848, 0.863, 0.861, 0.864, 0.859, 0.855, 0.865, 0.859, 0.855, 0.853, 0.848, 0.852, 0.855, 0.845, 0.855, 0.844, 0.842, 0.858, 0.855, 0.86, 0.863, 0.852, 0.842, 0.847, 0.843, 0.856, 0.848, 0.865, 0.857, 0.855, 0.857, 0.855, 0.856, 0.856, 0.854, 0.848, 0.844, 0.848, 0.858, 0.851, 0.859, 0.86, 0.853, 0.851, 0.853, 0.849, 0.863, 0.87, 0.854, 0.858, 0.859, 0.872, 0.864, 0.869, 0.859, 0.876, 0.869, 0.879, 0.858, 0.866, 0.851, 0.845, 0.853, 0.854, 0.864, 0.85, 0.856, 0.852, 0.856, 0.856, 0.848, 0.853, 0.853, 0.854, 0.857, 0.864, 0.86, 0.857, 0.856, 0.862, 0.861, 0.866, 0.859, 0.871, 0.855, 0.866, 0.858, 0.866, 0.865, 0.869, 0.871, 0.881, 0.867, 0.872, 0.863, 0.873, 0.875, 0.88, 0.886, 0.87, 0.867, 0.873, 0.868, 0.878, 0.874, 0.882, 0.874, 0.871, 0.861, 0.872, 0.88, 0.879, 0.863, 0.872, 0.87, 0.882, 0.886, 0.887, 0.886, 0.885, 0.891, 0.902, 0.923
