Steps,100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300, 310, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770, 780, 790, 800, 810, 820, 830, 840, 850, 860, 870, 880, 890, 900, 910, 920, 930, 940, 950, 960, 970, 980, 990, 1000, 1010, 1020, 1030, 1040, 1050, 1060, 1070, 1080, 1090, 1100, 1110, 1120, 1130, 1140, 1150, 1160, 1170, 1180, 1190, 1200, 1210, 1220, 1230, 1240, 1250, 1260, 1270, 1280, 1290, 1300, 1310, 1320, 1330, 1340, 1350, 1360, 1370, 1380, 1390, 1400, 1410, 1420, 1430, 1440, 1450, 1460, 1470, 1480, 1490, 1500, 1510, 1520, 1530, 1540, 1550, 1560, 1570, 1580, 1590, 1600, 1610, 1620, 1630, 1640, 1650, 1660, 1670, 1680, 1690, 1700, 1710, 1720, 1730, 1740, 1750, 1760, 1770, 1780, 1790, 1800, 1810, 1820, 1830, 1840, 1850, 1860, 1870, 1880, 1890, 1900, 1910, 1920, 1930, 1940, 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2030, 2040, 2050, 2060, 2070, 2080, 2090
Times,0.00255388, 0.00548463, 0.00916182, 0.0128343, 0.0160616, 0.0229301, 0.0273753, 0.0304444, 0.0356423, 0.0405377, 0.0435977, 0.0465168, 0.050342, 0.0549185, 0.0610299, 0.0650148, 0.0691438, 0.0754112, 0.0794011, 0.0839989, 0.0878285, 0.0930428, 0.0974926, 0.10057, 0.104397, 0.114768, 0.119352, 0.124706, 0.128686, 0.134478, 0.139515, 0.145171, 0.150677, 0.15861, 0.163803, 0.170375, 0.173442, 0.178487, 0.183685, 0.18782, 0.19104, 0.197781, 0.203592, 0.209706, 0.213546, 0.217979, 0.222555, 0.229566, 0.234162, 0.240115, 0.246377, 0.251729, 0.258143, 0.266836, 0.273864, 0.278005, 0.283508, 0.289004, 0.293595, 0.297733, 0.30325, 0.308308, 0.315785, 0.321286, 0.330598, 0.335203, 0.341774, 0.345297, 0.350945, 0.359502, 0.364851, 0.368983, 0.373717, 0.377698, 0.383202, 0.388404, 0.393459, 0.401243, 0.407193, 0.414677, 0.424592, 0.428725, 0.431487, 0.438823, 0.44372, 0.448641, 0.452767, 0.45751, 0.463621, 0.468965, 0.473108, 0.477246, 0.483205, 0.48963, 0.493452, 0.499256, 0.502936, 0.508307, 0.513967, 0.520683, 0.560168, 0.567177, 0.576075, 0.582324, 0.591333, 0.60041, 0.603951, 0.608419, 0.612587, 0.618535, 0.622986, 0.62727, 0.631556, 0.639964, 0.645161, 0.649294, 0.657402, 0.664455, 0.670048, 0.676852, 0.687283, 0.695715, 0.703817, 0.715589, 0.7223, 0.726128, 0.730719, 0.734883, 0.741002, 0.7459, 0.751092, 0.756289, 0.762399, 0.768053, 0.776474, 0.782127, 0.788106, 0.792727, 0.799007, 0.808485, 0.815836, 0.81907, 0.824993, 0.831136, 0.835732, 0.84215, 0.847809, 0.852413, 0.857314, 0.861299, 0.866199, 0.875062, 0.881791, 0.888359, 0.893095, 0.896941, 0.902746, 0.908864, 0.91652, 0.92289, 0.928422, 0.937701, 0.942908, 0.948867, 0.957103, 0.965654, 0.973283, 0.980012, 0.986431, 0.993447, 0.99727, 1.00186, 1.00964, 1.01655, 1.02281, 1.02984, 1.03595, 1.04235, 1.0467, 1.05195, 1.06004, 1.06555, 1.07212, 1.08233, 1.09148, 1.09954, 1.10359, 1.11108, 1.11749, 1.12335, 1.12748, 1.13463, 1.13998, 1.14411, 1.14885, 1.15619, 1.16261, 1.16917, 1.1733, 1.17866
<Sz>,0.0078125, 0.0078125, 0.0078125, 0.0078125, 0, 0, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.015625, 0.03125, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.03125, 0.0234375, 0.0234375, 0.0234375, 0.015625, 0.0078125, 0.0078125, 0.015625, 0.0078125, 0.015625, 0.015625, 0.0234375, 0.015625, 0.015625, 0.0234375, 0.0234375, 0.015625, 0.015625, 0.0234375, 0.0234375, 0.015625, 0.015625, 0.015625, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0234375, 0.0234375, 0.015625, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.015625, 0.015625, 0.0078125, 0, 0.0078125, 0.03125, 0.0234375, 0.015625, 0.0078125, 0.0078125, 0.0078125, 0.015625, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.015625, 0.015625, 0.0078125, 0, 0, 0, 0.0078125, 0.015625, 0.0234375, 0.015625, 0.015625, 0.015625, 0.0234375, 0.015625, 0.0078125, 0.0078125, 0.015625, 0.015625, 0.015625, 0.0078125, 0, 0, 0.0078125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0078125, 0, 0, 0, 0.0078125, 0.0234375, 0.0234375, 0.0234375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.015625, 0.015625, 0.0078125, 0, 0, 0, 0, 0, 0, 0.015625, 0.015625, 0.015625, 0.015625, 0.015625, 0.0234375, 0.03125, 0.0078125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0078125, 0.0078125, 0, 0, 0.0234375, 0, 0.0078125, 0.0078125, 0.015625, 0.0234375, 0.015625, 0.015625, 0.0078125, 0.0078125, 0.015625, 0.0078125, 0, 0, 0, 0.0078125, 0.0234375, 0.046875, 0.046875, 0.0625, 0.0546875, 0.0234375, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.0078125, 0.015625, 0.03125, 0.03125, 0.0234375
<Sx>,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
corr_t,1, 0.60875, 0.25375, 0.08125, 0.065, -0.10875, -0.10125, -0.0025, -0.03125, -0.01625, -0.0275, 0.10625, -0.01625, -0.08875, -0.0525, 0.01125, 0.115, 0.075, 0.0925, -0.0025, 0.0025, -0.01125, 0.08875, 0, -0.055, -0.0675, 0.15375, 0.06625, 0.14375, 0.105, -0.03625, -0.02, -0.0325, 0.0325, -0.105, -0.0025, -0.09, -0.04625, -0.06875, 0.09875, 0.1175, 0.07375, 0.11375, 0.075, 0.04375, 0.02125, -0.09, -0.0825, -0.0975, 0.0525, 0.12125, -0.03, -0.07125, -0.09625, -0.01625, 0.05375, 0.0625, 0.175, -0.12375, -0.175, 0.0125, -0.04, -0.08, -0.06125, -0.04, 0.02, 0.07, 0.085, 0.09875, 0.06, -0.05, -0.13125, -0.05625, 0.0475, 0.00875, 0.065, -0.1375, -0.2225, -0.25625, -0.15375, -0.06125, -0.07625, 0.04625, 0.20375, 0.0675, 0.00625, -0.0225, -0.00375, 0.04375, 0.01125, -0.10875, -0.1075, -0.15375, 0.05125, 0.0975, 0.00375, -0.08875, -0.0475, -0.0525, 0.0475, -0.24875, -0.23125, -0.00375, -0.06875, -0.01125, -0.025, 0.045, 0.0275, -0.1125, 0.05375, -0.0075, -0.2, -0.0875, -0.0225, -0.22125, -0.06125, -0.08375, -0.0275, -0.095, 0.07125, 0.11, 0.17125, 0.12, 0.1875, 0.23875, 0.285, 0.35, 0.53
