name, average, error
steps,2.5095e+06,478714
times,2550.61,486.679
sx,0.0095288,6.07386e-05
sz,-0.0048716,0.0151538
mag,0.964291,0.00154196
mag2,0.938317,0.00220087
mag4,0.896629,0.00281463
cluster size,1,0
corr_x,1
corr_t,1, 0.9828, 0.9764, 0.9804, 0.9724, 0.97, 0.9712, 0.972, 0.9712, 0.968, 0.972, 0.9672, 0.9648, 0.964, 0.964, 0.962, 0.9668, 0.9636, 0.96, 0.9636, 0.9624, 0.962, 0.9608, 0.96, 0.964, 0.9608, 0.9604, 0.9576, 0.9592, 0.9592, 0.9576, 0.9604, 0.9608, 0.9604, 0.9596, 0.96, 0.9564, 0.962, 0.9604, 0.9576, 0.9596, 0.96, 0.9608, 0.9624, 0.9556, 0.96, 0.9592, 0.9532, 0.9604, 0.958, 0.9532, 0.956, 0.9564, 0.9564, 0.9572, 0.9552, 0.956, 0.9532, 0.9528, 0.9536, 0.9548, 0.9544, 0.9552, 0.9512, 0.9548, 0.9512, 0.95, 0.952, 0.9444, 0.9468, 0.948, 0.9484, 0.9524, 0.9496, 0.9532, 0.9492, 0.9504, 0.956, 0.9516, 0.9484, 0.9508, 0.9492, 0.9468, 0.9472, 0.9472, 0.9456, 0.9456, 0.9468, 0.946, 0.9444, 0.9456, 0.9492, 0.9452, 0.9448, 0.9488, 0.9448, 0.9452, 0.9456, 0.9472, 0.9448, 0.9416, 0.9396, 0.9388, 0.94, 0.9388, 0.94, 0.9368, 0.94, 0.9392, 0.9384, 0.9412, 0.9416, 0.9396, 0.9448, 0.9404, 0.9416, 0.9392, 0.9364, 0.9388, 0.9404, 0.9396, 0.938, 0.9412, 0.9412, 0.9376, 0.9392, 0.9408, 0.9344, 0.9372, 0.9364, 0.9352, 0.934, 0.938, 0.938, 0.9396, 0.9388, 0.9388, 0.932, 0.9352, 0.9384, 0.936, 0.936, 0.9372, 0.9356, 0.9384, 0.9388, 0.9328, 0.9388, 0.9396, 0.9384, 0.934, 0.9364, 0.9364, 0.9392, 0.938, 0.9344, 0.9376, 0.936, 0.934, 0.9356, 0.9368, 0.9348, 0.938, 0.9388, 0.938, 0.94, 0.9424, 0.9448, 0.942, 0.9388, 0.944, 0.9424, 0.9424, 0.942, 0.942, 0.9376, 0.9372, 0.9396, 0.9372, 0.9368, 0.9384, 0.9364, 0.9336, 0.934, 0.9376, 0.9392, 0.9396, 0.9388, 0.9356, 0.9336, 0.9348, 0.9296, 0.932, 0.9336, 0.938, 0.936, 0.9296, 0.9332, 0.9328, 0.9288, 0.9336, 0.9368, 0.9372, 0.9324, 0.9332, 0.9332, 0.9356, 0.938, 0.9364, 0.934, 0.9364, 0.9352, 0.9368, 0.9364, 0.9364, 0.9344, 0.9348, 0.9336, 0.934, 0.9336, 0.9352, 0.9328, 0.9356, 0.9312, 0.9316, 0.9332, 0.9304, 0.9324, 0.9316, 0.93, 0.9324, 0.9324, 0.9332, 0.9316, 0.934, 0.9276, 0.93, 0.9304, 0.9288, 0.9328, 0.9276, 0.9312, 0.9288, 0.9288, 0.9292, 0.9288, 0.9256, 0.928, 0.9272, 0.9264, 0.9252, 0.9248, 0.9268, 0.9264, 0.9284, 0.9316, 0.928, 0.9276, 0.9288, 0.9288, 0.9272, 0.9324, 0.9268, 0.928, 0.9276, 0.932, 0.9264, 0.9268, 0.9252, 0.9256, 0.932, 0.9308, 0.9308, 0.9308, 0.924, 0.9324, 0.932, 0.9252, 0.9296, 0.93, 0.928, 0.93, 0.93, 0.9288, 0.93, 0.9332, 0.9256, 0.9276, 0.9276, 0.9312, 0.9256, 0.9292, 0.928, 0.9296, 0.9264, 0.9292, 0.924, 0.926, 0.9256, 0.9296, 0.9332, 0.9244, 0.9272, 0.9292, 0.9296, 0.9288, 0.9288, 0.9344, 0.9284, 0.93, 0.9264, 0.932, 0.9304, 0.9308, 0.9308, 0.9276, 0.9288, 0.9244, 0.932, 0.9328, 0.9336, 0.9296, 0.9276, 0.926, 0.9268, 0.9268, 0.9276, 0.9268, 0.9224, 0.9236, 0.9288, 0.9252, 0.9224, 0.9296, 0.9212, 0.9256, 0.9236, 0.926, 0.926, 0.9232, 0.9244, 0.9244, 0.9224, 0.9216, 0.922, 0.9264, 0.9236, 0.9268, 0.9272, 0.9228, 0.9204, 0.9248, 0.9244, 0.9268, 0.9276, 0.93, 0.9264, 0.9256, 0.9248, 0.9216, 0.922, 0.9232, 0.9252, 0.9252, 0.9196, 0.9212, 0.9228, 0.9228, 0.9264, 0.9232, 0.9228, 0.9224, 0.926, 0.9188, 0.924, 0.9224, 0.9228, 0.9256, 0.9244, 0.924, 0.9236, 0.9212, 0.9204, 0.924, 0.9296, 0.9268, 0.924, 0.9244, 0.9248, 0.924, 0.9252, 0.9208, 0.926, 0.9256, 0.9256, 0.924, 0.9248, 0.9248, 0.9292, 0.9232, 0.9248, 0.9224, 0.9272, 0.9276, 0.9252, 0.924, 0.9232, 0.926, 0.9212, 0.9216, 0.9244, 0.9216, 0.9236, 0.9244, 0.9228, 0.9248, 0.922, 0.922, 0.9204, 0.924, 0.9244, 0.9256, 0.9228, 0.9236, 0.9276, 0.9252, 0.9292, 0.93, 0.9268, 0.9264, 0.9272, 0.926, 0.924, 0.9268, 0.924, 0.9252, 0.926, 0.9256, 0.9232, 0.9224, 0.9196, 0.922, 0.9264, 0.922, 0.922, 0.924, 0.9228, 0.9244, 0.9252, 0.926, 0.9256, 0.9252, 0.9224, 0.9196, 0.9212, 0.9252, 0.9228, 0.9216, 0.9232, 0.9208, 0.9248, 0.9264, 0.9272, 0.9276, 0.9268, 0.9248, 0.9244, 0.924, 0.9244, 0.926, 0.928, 0.9272, 0.9272, 0.9208, 0.9244, 0.9236, 0.9236, 0.9232, 0.9248, 0.92, 0.9212, 0.9236, 0.9232, 0.926, 0.9272, 0.9248, 0.9232, 0.9256, 0.922, 0.9252, 0.9244, 0.918, 0.9196, 0.9216, 0.922, 0.9184, 0.918, 0.9148, 0.9176, 0.92, 0.9184, 0.9176, 0.9172, 0.9168, 0.9172, 0.9188, 0.9176, 0.9148, 0.9168, 0.9172, 0.922, 0.9216, 0.9228, 0.9228, 0.9228, 0.922, 0.9216, 0.922, 0.9232, 0.9208, 0.9188, 0.9204, 0.9212, 0.9212, 0.9204, 0.9216, 0.918, 0.9176, 0.9208, 0.9172, 0.9216, 0.9256, 0.9232, 0.9184, 0.928, 0.9252, 0.9236, 0.9224, 0.9216, 0.9204, 0.9252, 0.926, 0.926, 0.9276, 0.924, 0.9252, 0.926, 0.9248, 0.9244, 0.926, 0.926, 0.9244, 0.928, 0.9216, 0.9244, 0.9268, 0.9272, 0.9236, 0.9296, 0.9304, 0.9256, 0.9244, 0.9256, 0.9244, 0.9252, 0.9264, 0.9272, 0.9232, 0.9204, 0.9244, 0.9268, 0.9236, 0.9212, 0.9208, 0.9232, 0.9276, 0.9208, 0.9196, 0.9176, 0.9252, 0.924, 0.922, 0.9196, 0.92, 0.9236, 0.9224, 0.9216, 0.9248, 0.9272, 0.9276, 0.928, 0.9308, 0.9268, 0.928, 0.9236, 0.9248, 0.9244, 0.924, 0.9236, 0.9252, 0.9288, 0.9244, 0.9264, 0.9232, 0.9236, 0.926, 0.9264, 0.9272, 0.9244, 0.9172, 0.9192, 0.92, 0.9204, 0.9204, 0.9192, 0.924, 0.9256, 0.922, 0.9212, 0.924, 0.9196, 0.9192, 0.918, 0.918, 0.92, 0.9204, 0.92, 0.9212, 0.9208, 0.9216, 0.9188, 0.9204, 0.9208, 0.9216, 0.9224, 0.9252, 0.9236, 0.926, 0.9204, 0.922, 0.9236, 0.9204, 0.9188, 0.926, 0.9272, 0.9236, 0.9244, 0.9256, 0.922, 0.9224, 0.9224, 0.922, 0.9184, 0.9216, 0.926, 0.9184, 0.9256, 0.9248, 0.9252, 0.9212, 0.9248, 0.922, 0.9244, 0.9252, 0.9244, 0.9232, 0.924, 0.9248, 0.924, 0.9236, 0.922, 0.9244, 0.9256, 0.9264, 0.9276, 0.9264, 0.9244, 0.9284, 0.9288, 0.9268, 0.9292, 0.9268, 0.93, 0.9264, 0.9268, 0.9268, 0.926, 0.9276, 0.9232, 0.9252, 0.9232, 0.9216, 0.9204, 0.926, 0.9236, 0.9204, 0.9244, 0.92, 0.9212, 0.9236, 0.9264, 0.926, 0.9252, 0.928, 0.9244, 0.9192, 0.9244, 0.9244, 0.9184, 0.9252, 0.9256, 0.9264, 0.9252, 0.9252, 0.9288, 0.9276, 0.9316, 0.9272, 0.928, 0.9288, 0.9292, 0.9268, 0.926, 0.9264, 0.9276, 0.9292, 0.9264, 0.9272, 0.9288, 0.9236, 0.9296, 0.932, 0.928, 0.9272, 0.9228, 0.9232, 0.9244, 0.9268, 0.9272, 0.9276, 0.9248, 0.9256, 0.926, 0.9284, 0.9284, 0.926, 0.9276, 0.9288, 0.9292, 0.9312, 0.928, 0.9292, 0.9288, 0.9288, 0.9276, 0.924, 0.9292, 0.9272, 0.9276, 0.9264, 0.9252, 0.9272, 0.9284, 0.9304, 0.93, 0.9284, 0.9252, 0.9268, 0.9296, 0.9316, 0.9256, 0.9268, 0.9296, 0.9332, 0.9296, 0.924, 0.9292, 0.924, 0.9288, 0.9296, 0.9288, 0.9312, 0.9336, 0.9288, 0.9312, 0.9284, 0.928, 0.9292, 0.9232, 0.9256, 0.924, 0.9288, 0.9264, 0.9268, 0.9244, 0.9288, 0.9304, 0.9312, 0.9316, 0.9292, 0.9288, 0.9308, 0.9312, 0.9308, 0.9296, 0.9264, 0.9252, 0.9296, 0.9332, 0.9332, 0.9308, 0.9288, 0.9296, 0.9312, 0.9308, 0.9312, 0.9324, 0.9348, 0.9304, 0.9284, 0.9304, 0.9288, 0.9312, 0.932, 0.9312, 0.9304, 0.9332, 0.932, 0.9324, 0.9332, 0.934, 0.9316, 0.9264, 0.9324, 0.936, 0.9368, 0.9316, 0.936, 0.934, 0.9316, 0.9284, 0.9284, 0.9308, 0.9292, 0.9292, 0.9304, 0.9332, 0.9316, 0.9336, 0.9324, 0.9272, 0.9264, 0.9296, 0.9292, 0.9316, 0.9332, 0.9344, 0.9308, 0.9312, 0.9344, 0.9312, 0.9324, 0.9284, 0.9296, 0.9356, 0.9364, 0.9364, 0.936, 0.936, 0.9332, 0.9332, 0.9356, 0.936, 0.936, 0.934, 0.9364, 0.9352, 0.9368, 0.9372, 0.94, 0.9388, 0.9396, 0.9412, 0.9352, 0.9392, 0.938, 0.936, 0.9368, 0.9368, 0.9404, 0.9412, 0.942, 0.9416, 0.94, 0.9428, 0.9408, 0.942, 0.944, 0.9448, 0.944, 0.9428, 0.9448, 0.942, 0.9384, 0.938, 0.9412, 0.9444, 0.9372, 0.9388, 0.942, 0.9412, 0.9416, 0.9372, 0.9444, 0.942, 0.9448, 0.942, 0.9436, 0.9388, 0.9432, 0.9412, 0.9448, 0.9428, 0.9468, 0.9464, 0.9432, 0.9424, 0.9452, 0.942, 0.944, 0.9452, 0.946, 0.9472, 0.9488, 0.948, 0.9504, 0.9484, 0.9492, 0.9464, 0.9512, 0.9528, 0.9492, 0.9496, 0.95, 0.9476, 0.9512, 0.9516, 0.95, 0.9504, 0.9496, 0.9516, 0.9508, 0.9484, 0.9492, 0.9504, 0.9492, 0.952, 0.9492, 0.9512, 0.9528, 0.9516, 0.952, 0.9556, 0.9548, 0.95, 0.9512, 0.9548, 0.9532, 0.9504, 0.9536, 0.9504, 0.9508, 0.9488, 0.9492, 0.9516, 0.9532, 0.9536, 0.9548, 0.9532, 0.956, 0.954, 0.956, 0.9568, 0.9548, 0.9592, 0.9596, 0.9604, 0.9604, 0.958, 0.96, 0.9612, 0.962, 0.9672, 0.9648, 0.962, 0.9684, 0.972, 0.9644, 0.9716, 0.9768
