name, average, error
steps,1.0095e+06,191485
times,329.337,62.4132
sx,0.102832,0.000419446
sz,0.010185,0.00722221
mag,0.409285,0.0064199
mag2,0.219307,0.00484057
mag4,0.0850876,0.00245601
cluster size,1,0
corr_x,1
corr_t,1, 0.78, 0.695, 0.674, 0.645, 0.618, 0.599, 0.589, 0.571, 0.542, 0.545, 0.558, 0.517, 0.518, 0.515, 0.523, 0.503, 0.501, 0.478, 0.481, 0.473, 0.456, 0.456, 0.436, 0.444, 0.434, 0.417, 0.398, 0.407, 0.417, 0.413, 0.406, 0.4, 0.41, 0.401, 0.387, 0.393, 0.371, 0.391, 0.374, 0.349, 0.359, 0.365, 0.337, 0.346, 0.348, 0.33, 0.336, 0.339, 0.321, 0.324, 0.321, 0.319, 0.307, 0.303, 0.308, 0.298, 0.305, 0.291, 0.309, 0.304, 0.295, 0.31, 0.316, 0.327, 0.324, 0.318, 0.29, 0.312, 0.316, 0.305, 0.304, 0.292, 0.311, 0.306, 0.285, 0.293, 0.28, 0.276, 0.268, 0.27, 0.269, 0.26, 0.259, 0.257, 0.266, 0.264, 0.26, 0.234, 0.275, 0.263, 0.258, 0.284, 0.271, 0.263, 0.256, 0.257, 0.274, 0.246, 0.259, 0.259, 0.243, 0.224, 0.223, 0.237, 0.251, 0.243, 0.248, 0.26, 0.268, 0.25, 0.272, 0.285, 0.254, 0.265, 0.247, 0.246, 0.231, 0.239, 0.238, 0.246, 0.224, 0.255, 0.255, 0.245, 0.28, 0.264, 0.251, 0.248, 0.218, 0.212, 0.209, 0.234, 0.215, 0.215, 0.227, 0.22, 0.213, 0.222, 0.222, 0.225, 0.226, 0.218, 0.226, 0.238, 0.221, 0.226, 0.243, 0.22, 0.232, 0.246, 0.245, 0.23, 0.223, 0.239, 0.214, 0.23, 0.215, 0.221, 0.213, 0.213, 0.208, 0.222, 0.202, 0.223, 0.197, 0.213, 0.195, 0.216, 0.2, 0.198, 0.211, 0.219, 0.212, 0.239, 0.221, 0.198, 0.207, 0.201, 0.184, 0.209, 0.201, 0.196, 0.198, 0.198, 0.193, 0.22, 0.2, 0.218, 0.227, 0.199, 0.198, 0.202, 0.189, 0.191, 0.211, 0.234, 0.217, 0.208, 0.201, 0.184, 0.193, 0.168, 0.17, 0.184, 0.191, 0.183, 0.183, 0.185, 0.178, 0.203, 0.193, 0.187, 0.2, 0.195, 0.195, 0.203, 0.201, 0.177, 0.201, 0.188, 0.203, 0.204, 0.23, 0.201, 0.215, 0.199, 0.17, 0.182, 0.18, 0.16, 0.17, 0.171, 0.151, 0.161, 0.134, 0.15, 0.146, 0.162, 0.16, 0.179, 0.172, 0.159, 0.163, 0.156, 0.159, 0.158, 0.142, 0.157, 0.146, 0.164, 0.145, 0.131, 0.147, 0.143, 0.153, 0.136, 0.14, 0.128, 0.133, 0.15, 0.143, 0.153, 0.159, 0.174, 0.144, 0.156, 0.144, 0.164, 0.156, 0.146, 0.14, 0.135, 0.134, 0.15, 0.163, 0.136, 0.133, 0.135, 0.119, 0.128, 0.13, 0.165, 0.163, 0.141, 0.175, 0.182, 0.173, 0.174, 0.155, 0.154, 0.148, 0.153, 0.174, 0.157, 0.162, 0.17, 0.184, 0.176, 0.166, 0.154, 0.16, 0.149, 0.148, 0.162, 0.168, 0.176, 0.163, 0.163, 0.159, 0.148, 0.177, 0.159, 0.172, 0.156, 0.156, 0.151, 0.14, 0.136, 0.147, 0.153, 0.153, 0.17, 0.154, 0.165, 0.166, 0.152, 0.179, 0.164, 0.173, 0.151, 0.159, 0.184, 0.168, 0.159, 0.149, 0.163, 0.15, 0.16, 0.158, 0.17, 0.152, 0.156, 0.138, 0.155, 0.153, 0.144, 0.161, 0.156, 0.137, 0.118, 0.152, 0.163, 0.145, 0.15, 0.145, 0.148, 0.163, 0.145, 0.152, 0.136, 0.141, 0.149, 0.153, 0.154, 0.164, 0.179, 0.167, 0.166, 0.154, 0.155, 0.154, 0.161, 0.166, 0.173, 0.177, 0.176, 0.17, 0.165, 0.151, 0.161, 0.179, 0.174, 0.166, 0.147, 0.163, 0.155, 0.136, 0.142, 0.163, 0.129, 0.142, 0.165, 0.15, 0.137, 0.129, 0.113, 0.131, 0.132, 0.151, 0.167, 0.159, 0.152, 0.159, 0.162, 0.172, 0.203, 0.179, 0.169, 0.149, 0.17, 0.158, 0.14, 0.149, 0.131, 0.143, 0.13, 0.137, 0.151, 0.147, 0.133, 0.135, 0.144, 0.137, 0.156, 0.14, 0.153, 0.148, 0.14, 0.133, 0.149, 0.142, 0.133, 0.133, 0.145, 0.132, 0.138, 0.119, 0.115, 0.104, 0.119, 0.119, 0.098, 0.103, 0.101, 0.11, 0.112, 0.14, 0.132, 0.127, 0.143, 0.129, 0.131, 0.131, 0.13, 0.131, 0.139, 0.123, 0.119, 0.135, 0.135, 0.128, 0.125, 0.12, 0.116, 0.125, 0.138, 0.136, 0.147, 0.131, 0.131, 0.13, 0.131, 0.129, 0.11, 0.13, 0.131, 0.159, 0.142, 0.136, 0.122, 0.133, 0.156, 0.138, 0.15, 0.163, 0.169, 0.156, 0.14, 0.156, 0.155, 0.154, 0.128, 0.149, 0.162, 0.136, 0.138, 0.137, 0.143, 0.14, 0.152, 0.146, 0.14, 0.157, 0.121, 0.143, 0.136, 0.141, 0.129, 0.145, 0.135, 0.144, 0.105, 0.099, 0.111, 0.106, 0.112, 0.115, 0.108, 0.118, 0.132, 0.128, 0.141, 0.156, 0.154, 0.148, 0.129, 0.147, 0.165, 0.16, 0.146, 0.13, 0.148, 0.169, 0.175, 0.146, 0.154, 0.166, 0.151, 0.159, 0.156, 0.179, 0.168, 0.162, 0.182, 0.172, 0.143, 0.151, 0.159, 0.172, 0.179, 0.173, 0.168, 0.163, 0.164, 0.171, 0.164, 0.164, 0.152, 0.153, 0.162, 0.162, 0.155, 0.136, 0.136, 0.151, 0.143, 0.153, 0.131, 0.145, 0.149, 0.159, 0.151, 0.147, 0.148, 0.144, 0.148, 0.156, 0.133, 0.145, 0.162, 0.138, 0.121, 0.146, 0.133, 0.131, 0.123, 0.162, 0.157, 0.132, 0.122, 0.132, 0.142, 0.149, 0.151, 0.165, 0.177, 0.171, 0.137, 0.143, 0.156, 0.181, 0.157, 0.144, 0.145, 0.162, 0.168, 0.144, 0.162, 0.15, 0.178, 0.16, 0.175, 0.165, 0.161, 0.163, 0.156, 0.133, 0.128, 0.136, 0.131, 0.137, 0.127, 0.138, 0.151, 0.128, 0.127, 0.114, 0.138, 0.109, 0.121, 0.121, 0.123, 0.135, 0.13, 0.118, 0.121, 0.126, 0.129, 0.102, 0.111, 0.129, 0.155, 0.128, 0.136, 0.132, 0.121, 0.151, 0.145, 0.155, 0.159, 0.136, 0.147, 0.167, 0.179, 0.163, 0.179, 0.148, 0.157, 0.128, 0.142, 0.141, 0.14, 0.128, 0.131, 0.163, 0.146, 0.151, 0.129, 0.148, 0.14, 0.125, 0.131, 0.117, 0.115, 0.105, 0.11, 0.13, 0.119, 0.144, 0.125, 0.13, 0.132, 0.142, 0.117, 0.122, 0.114, 0.1, 0.104, 0.119, 0.134, 0.15, 0.16, 0.138, 0.147, 0.137, 0.133, 0.143, 0.161, 0.157, 0.178, 0.145, 0.151, 0.175, 0.158, 0.155, 0.147, 0.152, 0.149, 0.151, 0.142, 0.152, 0.149, 0.14, 0.155, 0.164, 0.156, 0.143, 0.15, 0.154, 0.15, 0.142, 0.146, 0.15, 0.137, 0.131, 0.15, 0.156, 0.141, 0.135, 0.142, 0.135, 0.139, 0.165, 0.162, 0.159, 0.141, 0.155, 0.171, 0.177, 0.156, 0.153, 0.161, 0.167, 0.16, 0.152, 0.149, 0.162, 0.143, 0.161, 0.143, 0.157, 0.167, 0.173, 0.155, 0.147, 0.163, 0.173, 0.165, 0.154, 0.142, 0.153, 0.151, 0.166, 0.153, 0.161, 0.155, 0.148, 0.177, 0.183, 0.16, 0.17, 0.18, 0.168, 0.163, 0.182, 0.175, 0.17, 0.165, 0.178, 0.168, 0.17, 0.177, 0.165, 0.166, 0.166, 0.147, 0.161, 0.157, 0.152, 0.183, 0.158, 0.19, 0.19, 0.167, 0.179, 0.186, 0.175, 0.2, 0.197, 0.213, 0.19, 0.18, 0.197, 0.179, 0.181, 0.186, 0.186, 0.201, 0.203, 0.218, 0.204, 0.221, 0.178, 0.184, 0.205, 0.216, 0.191, 0.217, 0.186, 0.196, 0.196, 0.191, 0.199, 0.185, 0.178, 0.177, 0.187, 0.193, 0.17, 0.15, 0.15, 0.188, 0.173, 0.184, 0.185, 0.208, 0.204, 0.194, 0.201, 0.201, 0.197, 0.188, 0.215, 0.194, 0.196, 0.199, 0.193, 0.186, 0.2, 0.199, 0.217, 0.208, 0.203, 0.193, 0.212, 0.202, 0.221, 0.203, 0.206, 0.221, 0.231, 0.227, 0.234, 0.243, 0.235, 0.209, 0.218, 0.209, 0.212, 0.197, 0.208, 0.224, 0.221, 0.216, 0.224, 0.224, 0.221, 0.233, 0.218, 0.225, 0.232, 0.227, 0.225, 0.231, 0.239, 0.241, 0.227, 0.238, 0.237, 0.225, 0.237, 0.249, 0.242, 0.248, 0.262, 0.262, 0.269, 0.269, 0.263, 0.271, 0.255, 0.264, 0.252, 0.243, 0.244, 0.277, 0.276, 0.277, 0.257, 0.26, 0.288, 0.276, 0.281, 0.288, 0.306, 0.305, 0.3, 0.296, 0.298, 0.294, 0.292, 0.269, 0.288, 0.286, 0.289, 0.3, 0.31, 0.264, 0.306, 0.309, 0.298, 0.313, 0.291, 0.322, 0.313, 0.316, 0.326, 0.304, 0.308, 0.324, 0.341, 0.318, 0.326, 0.317, 0.331, 0.333, 0.337, 0.355, 0.338, 0.339, 0.331, 0.348, 0.345, 0.34, 0.351, 0.356, 0.376, 0.378, 0.39, 0.375, 0.386, 0.385, 0.4, 0.387, 0.387, 0.41, 0.419, 0.391, 0.411, 0.412, 0.421, 0.419, 0.413, 0.437, 0.456, 0.448, 0.452, 0.46, 0.456, 0.461, 0.467, 0.486, 0.486, 0.481, 0.48, 0.498, 0.51, 0.508, 0.523, 0.538, 0.532, 0.527, 0.57, 0.576, 0.609, 0.633, 0.667, 0.714, 0.784
